Nr,imię,nazwisko,Garrick Ohlsson,John Alison,Yulianna Avdeeva,Michel Beroff,Sa Chen,Dang Thai Son,Akiko Ebi,Nelson Goerner,Krzysztof Jabłoński,Kevin Kenner,Momo Kodama,Robert McDonald,Piotr Paleczny,Ewa Pobłocka,K. Popowa-Zydroń,John Rink,Wojciech Świtała
5,Zitong,Wang,19,25,20,21,18,,20,23,19,19,22,22,21,22,22,20,19
15,William,Yang,19,19,16,21,23,20,18,17,22,23,22,,23,19,23,21,20
24,Piotr,Alexewicz,19,22,19,24,19,21,25,22,19,22,23,22,22,18,20,22,23
29,Kevin,Chen,19,24,21,25,24,20,19,21,24,21,21,21,23,20,21,21,23
47,David,Khrikuli,17,25,17,21,20,23,20,24,21,23,22,20,22,17,18,22,19
51,Shiori,Kuwahara,19,21,16,23,20,19,21,22,21,16,24,23,21,21,23,23,21
57,Tianyou,Li,18,21,18,21,24,19,17,19,19,18,20,19,18,16,19,20,20
62,Eric,Lu,20,22,19,25,20,,20,24,20,21,23,,22,22,21,24,20
64,Tianyao,Lyu,17,20,17,22,18,20,23,23,24,24,20,21,24,24,,19,22
73,Vincent,Ong,19,18,18,22,24,24,22,25,23,20,25,20,18,21,17,23,19
81,Miyu,Shindo,19,20,15,22,19,20,20,20,20,21,20,19,19,18,21,19,21
