number,firstname,lastname,Garrick Ohlsson,John Alison,Yulianna Avdeeva,Michel Beroff,Sa Chen,Dang Thai Son,Akiko Ebi,Nelson Goerner,Krzysztof Jabłoński,Kevin Kenner,Momo Kodama,Robert McDonald,Piotr Paleczny,Ewa Pobłocka,K. Popowa-Zydroń,John Rink,Wojciech Świtała
3,Tomoharu,Ushida,21,20,21,21,21,19,20,19,22,20,20,23,,20,23,20,20
5,Zitong,Wang,23,23,22,25,22,,24,23,19,25,23,22,19,24,20,25,23
11,Yifan,Wu,20,19,20,24,18,17,21,20,20,20,23,20,20,17,19,20,20
15,William,Yang,21,19,20,21,21,20,19,18,21,24,21,,19,19,24,23,23
24,Piotr,Alexewicz,18,21,22,24,21,21,23,23,19,21,23,18,19,19,19,21,21
29,Kevin,Chen,16,22,22,24,22,23,22,22,25,23,23,23,23,18,21,23,23
39,Yang (Jack),Gao,25,19,20,20,21,17,16,19,17,19,20,21,18,20,22,25,21
41,Eric,Guo,17,18,21,23,19,18,22,21,18,19,24,19,19,17,18,22,20
47,David,Khrikuli,18,24,22,24,22,20,16,24,21,20,22,20,21,14,19,23,20
51,Shiori,Kuwahara,18,21,22,24,22,19,21,24,20,17,23,22,20,22,23,21,22
53,Hyo,Lee,21,20,22,21,19,21,24,22,18,22,20,21,22,,20,19,21
54,Hyuk,Lee,17,18,20,24,20,20,23,21,20,19,20,19,21,,20,19,21
57,Tianyou,Li,22,24,23,22,24,19,22,24,21,22,20,20,21,21,22,24,22
58,Xiaoxuan,Li,22,19,20,19,19,18,20,20,20,22,20,,21,22,19,18,19
62,Eric,Lu,23,24,20,23,22,,25,25,21,24,24,,22,24,23,24,24
64,Tianyao,Lyu,19,21,21,21,20,19,18,23,22,23,23,22,23,23,,20,23
73,Vincent,Ong,17,18,20,21,21,22,22,23,21,22,24,17,20,20,21,20,19
75,Piotr,Pawlak,24,24,20,21,17,19,23,20,18,17,20,18,21,15,17,18,19
76,Yehuda,Prokopowicz,23,22,22,18,19,18,18,22,19,18,21,18,22,18,18,19,19
81,Miyu,Shindo,19,20,20,23,20,21,22,20,23,23,20,21,23,21,21,20,21
