judge,mean_correlation,std_correlation,n_comparisons,mean_score,std_score
Ewa Pobłocka,0.6554455683651567,0.10053274129123652,6,19.591836734693878,2.9277957065323506
John Alison,0.6484297189703975,0.17715377736682403,6,18.65806451612903,3.2462540043480432
Momo Kodama,0.6414318499531549,0.1042122257623796,6,20.677419354838708,2.171047637082176
Krzysztof Jabłoński,0.5543012698254833,0.16359547508146757,6,18.258064516129032,2.6988181869478076
Sa Chen,0.4814561579746537,0.26874076261382035,6,21.335483870967742,1.513048953100469
Piotr Paleczny,0.4737582269658091,0.19560888551562738,6,20.2317880794702,2.121143429408681
Garrick Ohlsson,0.4719099973409886,0.22080958892764485,6,19.387096774193548,2.992169644068603
Dang Thai Son,0.4499416131191743,0.2103086353691372,6,19.153284671532848,2.3667131307715032
Wojciech Świtała,0.4146991744015635,0.13357893543360252,6,19.47682119205298,2.4544773702660003
Michel Beroff,0.38753675623172495,0.10093931645653147,6,20.593548387096774,2.776751288250233
Yulianna Avdeeva,0.36229213779431785,0.23670278166632192,6,20.767741935483873,1.8120066900148486
Nelson Goerner,0.3414761536763526,0.3283703174932546,6,19.89677419354839,2.9960454315482488
K. Popowa-Zydroń,0.32258901882447005,0.21895049148147935,6,19.794520547945204,2.203188311075027
Kevin Kenner,0.2910210708073038,0.25674341014989105,6,19.94736842105263,2.4624046656752445
John Rink,0.22619523789794957,0.2526880274744031,6,19.846387096774194,2.684731451386934
Akiko Ebi,0.09657278970091966,0.1117815872849229,6,20.81290322580645,2.464783378101117
Robert McDonald,0.08878822894284062,0.16372859523268765,6,20.02857142857143,2.2407053653770723
