Nr,imię,nazwisko,participant_name,original_score,ci_lower,ci_upper,ci_width,std_bootstrap,n_judges,rank,rank_ci_lower,rank_ci_upper,rank_uncertainty
29,Kevin,Chen,Kevin Chen,22.930588235294117,22.133441176470587,23.58944117647059,1.456000000000003,0.38809309666660763,17,1.0,1.0,1.0,0.0
41,Eric,Guo,Eric Guo,22.77529411764706,22.021176470588237,23.564117647058826,1.5429411764705883,0.39019290411557395,17,2.0,2.0,2.0,0.0
73,Vincent,Ong,Vincent Ong,22.065882352941177,20.98285294117647,23.007661764705883,2.024808823529412,0.5280716053941258,17,3.0,3.0,6.0,3.0
64,Tianyao,Lyu,Tianyao Lyu,22.055,21.1638125,22.8676875,1.703875,0.429663074862153,16,4.0,5.0,3.0,-2.0
51,Shiori,Kuwahara,Shiori Kuwahara,22.03235294117647,21.098632352941177,22.948823529411765,1.850191176470588,0.47015993651833043,17,5.0,4.0,5.0,1.0
81,Miyu,Shindo,Miyu Shindo,21.919999999999998,21.14470588235294,22.69529411764706,1.5505882352941178,0.4037116703393233,17,6.0,7.0,4.0,-3.0
62,Eric,Lu,Eric Lu,21.82266666666667,20.868000000000002,22.711883333333336,1.8438833333333342,0.46542935903003674,15,7.0,6.0,7.0,1.0
11,Yifan,Wu,Yifan Wu,21.470588235294116,20.705882352941178,22.235294117647058,1.5294117647058805,0.41326897915878974,17,8.0,11.0,8.0,-3.0
46,Adam,Kałduński,Adam Kałduński,21.4375,20.4375,22.4375,2.0,0.5079559374345377,16,9.0,8.0,10.0,2.0
77,Hao,Rao,Hao Rao,21.27058823529412,20.225882352941177,22.374470588235294,2.148588235294117,0.5544246179118606,17,10.0,9.0,13.0,4.0
68,Nathalia,Milstein,Nathalia Milstein,21.263529411764708,20.18788235294118,22.263529411764708,2.0756470588235274,0.5170608923146727,17,11.0,10.0,14.0,4.0
63,Philipp,Lynov,Philipp Lynov,21.136875,20.285328125,21.899718749999998,1.6143906249999986,0.40663074886373807,16,12.0,17.0,11.0,-6.0
54,Hyuk,Lee,Hyuk Lee,21.1325,20.44125,21.82878125,1.3875312499999986,0.3737762973608011,16,13.0,19.0,9.0,-10.0
53,Hyo,Lee,Hyo Lee,21.12875,20.248718750000002,22.0625,1.8137812499999981,0.4532807884675347,16,14.0,13.0,12.0,-1.0
78,Anthony,Ratinov,Anthony Ratinov,21.055,19.9925,22.12125,2.12875,0.5434996686694022,16,15.0,12.0,16.0,4.0
5,Zitong,Wang,Zitong Wang,21.026875,20.11625,21.875,1.7587499999999991,0.45586664201577004,16,16.0,18.0,15.0,-3.0
24,Piotr,Alexewicz,Piotr Alexewicz,21.023529411764706,19.978823529411763,21.972529411764704,1.9937058823529412,0.5073434706921722,17,17.0,15.0,17.0,2.0
75,Piotr,Pawlak,Piotr Pawlak,20.924705882352942,19.747970588235297,22.018235294117652,2.2702647058823544,0.585546081633134,17,18.0,14.0,23.0,9.0
58,Xiaoxuan,Li,Xiaoxuan Li,20.88375,19.782390624999998,21.94625,2.1638593750000013,0.5641382985899269,16,19.0,16.0,21.0,5.0
3,Tomoharu,Ushida,Tomoharu Ushida,20.8125,19.874609375,21.796875,1.9222656250000014,0.5035209854737933,16,20.0,20.0,18.0,-2.0
20,Jacky,Zhang,Jacky Zhang,20.74823529411765,19.665294117647058,21.782941176470587,2.117647058823529,0.5405599462610322,17,21.0,21.0,24.0,3.0
76,Yehuda,Prokopowicz,Yehuda Prokopowicz,20.72705882352941,19.785279411764705,21.682029411764702,1.8967499999999973,0.4964922852071745,17,22.0,22.0,20.0,-2.0
67,Ruben,Micieli,Ruben Micieli,20.612352941176468,19.761088235294118,21.49470588235294,1.7336176470588214,0.43890437718574055,17,23.0,25.0,22.0,-3.0
45,Zihan,Jin,Zihan Jin,20.529411764705884,19.823529411764707,21.11911764705882,1.2955882352941153,0.3348209457963238,17,24.0,30.0,19.0,-11.0
47,David,Khrikuli,David Khrikuli,20.521764705882354,19.504514705882354,21.54647058823529,2.041955882352937,0.5383016307481241,17,25.0,23.0,27.0,4.0
39,Yang (Jack),Gao,Yang (Jack) Gao,20.514705882352942,19.496544117647062,21.514779411764707,2.0182352941176447,0.532441114496781,17,26.0,24.0,28.0,4.0
25,Jonas,Aumiller,Jonas Aumiller,20.46294117647059,19.514117647058825,21.38705882352941,1.8729411764705866,0.4943519814798757,17,27.0,27.0,26.0,-1.0
30,Xuehong,Chen,Xuehong Chen,20.401176470588236,19.542602941176472,21.25941176470588,1.7168088235294086,0.44609156851519405,17,28.0,28.0,25.0,-3.0
26,Yanyan,Bao,Yanyan Bao,20.352941176470587,19.176470588235293,21.41176470588235,2.235294117647058,0.5802147317572149,17,29.0,26.0,31.0,5.0
31,Zixi,Chen,Zixi Chen,20.249411764705883,19.366705882352942,21.176470588235293,1.8097647058823512,0.4502212681010515,17,30.0,29.0,29.0,0.0
15,William,Yang,William Yang,20.21875,19.296875,21.109375,1.8125,0.4550812059981541,16,31.0,31.0,30.0,-1.0
59,Zhexiang,Li,Zhexiang Li,19.88823529411765,19.011352941176476,20.8085,1.7971470588235228,0.47703097619456014,17,32.0,34.0,32.0,-2.0
55,Kwanwook,Lee,Kwanwook Lee,19.868235294117646,19.0,20.736470588235292,1.7364705882352922,0.4334955125320986,17,33.0,36.0,33.0,-3.0
83,Gabriele,Strata,Gabriele Strata,19.83823529411765,18.855808823529408,20.818088235294116,1.9622794117647082,0.4989882462158722,17,34.0,33.0,34.0,1.0
69,Yumeka,Nakagawa,Yumeka Nakagawa,19.781176470588235,18.64679411764706,20.926676470588234,2.279882352941172,0.5952766547729273,17,35.0,32.0,37.0,5.0
35,Yubo,Deng,Yubo Deng,19.7175,18.67875,20.7175,2.0387500000000003,0.5251458210523531,16,36.0,37.0,36.0,-1.0
57,Tianyou,Li,Tianyou Li,19.691764705882353,18.823529411764707,20.574117647058824,1.7505882352941171,0.4471388367778147,17,37.0,38.0,35.0,-3.0
12,Miki,Yamagata,Miki Yamagata,19.612352941176468,18.584617647058824,20.49470588235294,1.9100882352941149,0.49279165186386104,17,38.0,41.0,38.0,-3.0
43,Xiaoyu,Hu,Xiaoyu Hu,19.59705882352941,18.461764705882352,20.79117647058823,2.3294117647058776,0.6173337204571727,17,39.0,35.0,42.0,7.0
