participant,cluster,mean_score,std_score,distance_to_center
3: Tomoharu Ushida,4,21.12669683257919,1.959641083939317,2.660816028381246
5: Zitong Wang,1,20.49019607843137,2.49198060190312,4.160950264958082
11: Yifan Wu,2,20.352941176470587,2.0291986247835694,2.718815655867347
12: Miki Yamagata,2,20.235294117647058,2.3592745644770203,3.1184816059466187
15: William Yang,3,21.893790849673202,2.750775621788041,4.431407069358662
20: Jacky Zhang,1,18.88235294117647,1.5764815627361644,3.170758916485339
24: Piotr Alexewicz,0,20.88235294117647,1.8668942438303942,3.24777873283756
25: Jonas Aumiller,0,19.764705882352942,1.855040827202527,1.859733739706025
26: Yanyan Bao,2,19.0,2.0,3.9006869077409836
28: Kai-Min Chang,3,20.49019607843137,1.6077833561339783,2.7962846219148134
29: Kevin Chen,4,22.235294117647058,1.751050105105001,2.1719111267599596
30: Xuehong Chen,2,19.88235294117647,1.8331105033922692,2.899960342505928
31: Zixi Chen,1,19.235294117647058,2.222875720904845,3.0823667051009562
35: Yubo Deng,0,19.07843137254902,2.3319323525205498,4.427276435063271
39: Yang (Jack) Gao,3,21.0,2.979093821953246,3.901100069455625
41: Eric Guo,2,20.41176470588235,1.9703687322875558,3.3296259099699377
43: Xiaoyu Hu,1,18.941176470588236,1.784327192364608,2.7062696437827505
45: Zihan Jin,1,19.058823529411764,2.1642142984029484,3.9099952285816917
46: Adam Kałduński,1,19.589783281733748,1.7336258803941986,2.7412001457674844
47: David Khrikuli,0,21.0,3.3166247903554,4.611665073582896
51: Shiori Kuwahara,3,21.11764705882353,2.2046074747326467,3.7150411231170364
53: Hyo Lee,2,20.75386996904025,1.3079682408284254,3.122893477286949
54: Hyuk Lee,2,20.812693498452013,1.8166922420425369,3.3214439631212644
55: Kwanwook Lee,1,18.823529411764707,1.7405205441780576,3.3390274289148327
57: Tianyou Li,4,21.705882352941178,1.8629514849544844,2.1600348285325937
58: Xiaoxuan Li,2,20.246732026143793,2.046382553215093,2.6799978051853466
59: Zhexiang Li,0,19.235294117647058,2.3326329481056884,3.4172157188903407
62: Eric Lu,3,22.501633986928105,2.0477627854717007,3.455109518890491
63: Philipp Lynov,0,19.0,2.1505813167606567,3.901610594963886
64: Tianyao Lyu,2,20.76625386996904,2.1355121759297173,2.8065351184228398
67: Ruben Micieli,1,19.11764705882353,2.3948474100967387,3.4427227916861365
68: Nathalia Milstein,1,19.058823529411764,2.2212211797594055,2.926324000745717
69: Yumeka Nakagawa,0,19.941176470588236,2.3840770812647323,3.314419464909829
73: Vincent Ong,3,21.11764705882353,2.642970699354622,3.492184870398998
75: Piotr Pawlak,1,20.58823529411765,2.3199898579900022,4.249623990743813
76: Yehuda Prokopowicz,1,20.235294117647058,2.0775409672466716,2.7974193178914244
77: Hao Rao,1,19.294117647058822,2.3389288649495343,3.7405088227934984
78: Anthony Ratinov,2,20.01143790849673,1.541824905027563,2.6131926241586267
81: Miyu Shindo,2,20.705882352941178,1.9926334924652145,3.122855582064313
83: Gabriele Strata,0,20.41176470588235,2.807552838536876,3.2544372572553506
