stage,judge1,judge2,cohens_kappa,observed_agreement,expected_agreement,n_participants,interpretation
stage3,John Alison,Nelson Goerner,0.7,0.85,0.5,20,substantial
stage3,Sa Chen,John Rink,0.7,0.85,0.5,20,substantial
stage3,Michel Beroff,Momo Kodama,0.6000000000000001,0.8,0.5,20,substantial
stage2,Michel Beroff,Momo Kodama,0.6,0.85,0.625,40,moderate
stage3,Yulianna Avdeeva,Nelson Goerner,0.595959595959596,0.8,0.505,20,moderate
stage1,Ewa Pobłocka,Wojciech Świtała,0.502906976744186,0.881578947368421,0.7617728531855955,76,moderate
stage3,John Alison,Yulianna Avdeeva,0.5,0.75,0.5,20,moderate
stage3,Nelson Goerner,Momo Kodama,0.5,0.75,0.5,20,moderate
stage2,Akiko Ebi,Nelson Goerner,0.4884910485933504,0.75,0.51125,40,moderate
stage2,John Alison,Yulianna Avdeeva,0.47916666666666663,0.75,0.52,40,moderate
stage1,Michel Beroff,Wojciech Świtała,0.4729907773386032,0.875,0.7628125000000001,80,moderate
stage2,Sa Chen,John Rink,0.47229551451187335,0.75,0.52625,40,moderate
stage2,Ewa Pobłocka,K. Popowa-Zydroń,0.47058823529411764,0.75,0.5277777777777778,36,moderate
stage1,Nelson Goerner,Momo Kodama,0.4367816091954022,0.8333333333333334,0.7040816326530613,84,moderate
stage1,John Alison,John Rink,0.43006263048016696,0.8452380952380952,0.7284580498866213,84,moderate
stage1,Piotr Paleczny,Wojciech Świtała,0.4218928164196122,0.8333333333333334,0.7117028270874426,78,moderate
stage2,Sa Chen,K. Popowa-Zydroń,0.4112676056338029,0.7105263157894737,0.5083102493074791,38,moderate
stage2,Piotr Paleczny,Wojciech Świtała,0.4066390041493776,0.717948717948718,0.52465483234714,39,moderate
stage2,Nelson Goerner,Momo Kodama,0.4054054054054054,0.725,0.5375,40,moderate
stage3,Michel Beroff,John Rink,0.3999999999999999,0.7,0.5,20,weak
stage3,John Rink,Wojciech Świtała,0.3999999999999999,0.7,0.5,20,weak
stage3,John Alison,John Rink,0.3999999999999999,0.7,0.5,20,weak
stage3,Momo Kodama,John Rink,0.3999999999999999,0.7,0.5,20,weak
stage3,John Alison,Momo Kodama,0.3999999999999999,0.7,0.5,20,weak
stage3,Kevin Kenner,Wojciech Świtała,0.3999999999999999,0.7,0.5,20,weak
stage3,Sa Chen,Nelson Goerner,0.39393939393939387,0.7,0.505,20,weak
stage2,Sa Chen,Ewa Pobłocka,0.39067055393586003,0.7105263157894737,0.5249307479224377,38,weak
stage1,Sa Chen,Momo Kodama,0.38834951456310685,0.7857142857142857,0.6496598639455782,84,weak
stage2,Sa Chen,Nelson Goerner,0.3861892583120204,0.7,0.51125,40,weak
stage2,Sa Chen,Akiko Ebi,0.3861892583120204,0.7,0.51125,40,weak
stage1,Nelson Goerner,K. Popowa-Zydroń,0.3824413710162359,0.8354430379746836,0.7335362922608556,79,weak
stage1,Akiko Ebi,John Rink,0.3723536737235365,0.8571428571428571,0.7723922902494331,84,weak
stage2,Nelson Goerner,John Rink,0.3667546174142479,0.7,0.52625,40,weak
stage1,Garrick Ohlsson,K. Popowa-Zydroń,0.3554778554778557,0.8227848101265823,0.72504406345137,79,weak
stage2,Michel Beroff,Piotr Paleczny,0.35294117647058826,0.717948717948718,0.5641025641025641,39,weak
stage2,K. Popowa-Zydroń,Wojciech Świtała,0.3522727272727273,0.6842105263157895,0.5124653739612188,38,weak
