,Garrick Ohlsson,John Alison,Yulianna Avdeeva,Michel Beroff,Sa Chen,Dang Thai Son,Akiko Ebi,Nelson Goerner,Krzysztof Jabłoński,Kevin Kenner,Momo Kodama,Robert McDonald,Piotr Paleczny,Ewa Pobłocka,K. Popowa-Zydroń,John Rink,Wojciech Świtała
Garrick Ohlsson,1.0,0.16546802090908155,0.28376797173203644,0.1784956547950837,0.11742755301701993,-0.0012199604567551716,0.23264276028103076,0.18339914518448736,0.035796192172710344,0.15574347612131598,0.03634008475636412,0.1316783953777701,0.07683245086416271,0.1551771460729142,0.26429970361202537,0.27031321784946627,0.2653014039758999
John Alison,0.16546802090908155,1.0,0.13433618986463555,0.36051844631121865,-0.04259519799039222,0.07821889655867173,0.1291053306663688,0.41229281487854674,0.23026760382288275,0.132280346410238,0.2597332043524194,0.12109603551770236,0.2582270515164959,-0.0005832396918949598,0.01997315375285895,0.4932711854160201,0.36484590390270044
Yulianna Avdeeva,0.28376797173203644,0.13433618986463555,1.0,0.2714948811396609,0.24650345921088784,0.08185160802780916,0.23446582143572497,0.1689910378472958,-0.11380876610417741,0.050542356894446146,0.10793000182475468,0.0829844307452887,0.17987952172805344,0.07887000659752809,0.014939424840877324,0.1773290876590099,0.20780819992024271
Michel Beroff,0.1784956547950837,0.36051844631121865,0.2714948811396609,1.0,0.18104135592595477,0.1347958283845354,0.34081246394634374,0.45309963591536956,0.363287198180587,0.3261335043181581,0.4380493127348747,0.34993348541593144,0.33446563762880993,0.16601085065292187,0.1371981859269519,0.42867029849221694,0.5150873743017214
Sa Chen,0.11742755301701993,-0.04259519799039222,0.24650345921088784,0.18104135592595477,1.0,0.18236723654340584,0.2067304600900023,0.16382548096733213,0.08361391954463489,0.2408064546919636,0.23281292436537526,0.2201585019261295,0.08708248703845417,0.28210720287376356,0.29838857881560615,0.2531585080165421,0.197434810726692
Dang Thai Son,-0.0012199604567551716,0.07821889655867173,0.08185160802780916,0.1347958283845354,0.18236723654340584,1.0,0.4699918303519484,0.3077731520758756,0.21954518576247722,0.3681364314771317,0.2037090935219343,0.16382669555085327,0.17391838247258282,0.25012397608302006,0.12020859350953432,0.29495082615491186,0.2576454194992563
Akiko Ebi,0.23264276028103076,0.1291053306663688,0.23446582143572497,0.34081246394634374,0.2067304600900023,0.4699918303519484,1.0,0.3473412132745462,0.10492287769654152,0.27223609476120986,0.3393426749105248,0.2939866531881746,0.26505165305604,0.2783382096140105,0.22438903530948273,0.39440729263443186,0.39517669885604134
Nelson Goerner,0.18339914518448736,0.41229281487854674,0.1689910378472958,0.45309963591536956,0.16382548096733213,0.3077731520758756,0.3473412132745462,1.0,0.3759437180618153,0.2684167991785254,0.4660455781045709,0.2807594270711901,0.2519078517937168,0.3094018516877771,0.2016077124657814,0.4537880345315477,0.4373428049244745
Krzysztof Jabłoński,0.035796192172710344,0.23026760382288275,-0.11380876610417741,0.363287198180587,0.08361391954463489,0.21954518576247722,0.10492287769654152,0.3759437180618153,1.0,0.48373578429738784,0.3102017201779863,0.288676458285667,0.22970544378991753,0.24770947501332627,0.19769533135563347,0.2003226071905472,0.4031450780262258
Kevin Kenner,0.15574347612131598,0.132280346410238,0.050542356894446146,0.3261335043181581,0.2408064546919636,0.3681364314771317,0.27223609476120986,0.2684167991785254,0.48373578429738784,1.0,0.18855487966844395,0.40683015623671465,0.17029552491630112,0.3892553723098785,0.25818053887963577,0.29484722563810967,0.45230348450135416
