participant,cluster,mean_score,std_score,distance_to_center
1: Ziye Tao,0,18.327437731849496,2.284433640786645,3.124341763059633
2: Chun Lam U,0,15.73920243773185,2.4035177397944096,4.329709621119793
3: Tomoharu Ushida,3,20.790530846484934,1.301310021322994,2.3579239627852524
4: Ryan Wang,4,17.11764705882353,1.6156404667026198,3.355207009212362
5: Zitong Wang,3,21.033320084790674,1.531509332755514,2.5493886241133117
6: Jan Widlarz,4,18.555658972449738,1.6741160833827307,2.5065803578822208
7: Andrzej Wierciński,2,19.03909465020576,2.385981250299935,3.2595652492869913
8: Krzysztof Wierciński,4,18.294117647058822,2.3654995741479468,3.0841557978698937
9: Victoria Wong,4,18.36698136044541,1.6249010636994827,2.3175005238338584
10: Maiqi Wu,4,18.641482843137254,1.5375284159988996,2.850684584541365
11: Yifan Wu,3,20.568627450980394,1.6148817719123905,2.290949370118643
12: Miki Yamagata,1,19.852941176470587,2.2414051527609926,3.253714273012077
13: Ryota Yamazaki,4,17.529411764705884,2.400980191995124,3.1369366920214
14: Fanze Yang,1,18.705882352941178,3.03654215108141,3.6810915139834
15: William Yang,3,20.78186274509804,1.452483013186306,3.1675640306004187
16: Yuanfan Yang,4,18.41176470588235,1.7341721198244626,3.1082893654492443
17: Yichen Yu,4,18.823529411764707,2.377900705392444,4.443161994642147
18: Yuewen Yu,4,18.705882352941178,2.8888731774333944,4.410891742659571
19: Andrey Zenin,4,17.764705882352942,3.0929236121489057,4.04814704421775
20: Jacky Zhang,2,19.735294117647058,2.039589779977394,3.109602288611646
21: Yonghuan Zhong,4,17.509682885499878,2.11179308226552,3.1135767280434288
22: Hanyuan Zhu,1,18.739202437731848,2.968919329480996,3.946859188528219
23: Jingting Zhu,4,18.38480392156863,1.7113495610954057,3.2197644823736185
24: Piotr Alexewicz,3,20.955882352941178,1.6399201917453536,2.0013589077784006
25: Jonas Aumiller,3,20.029411764705884,1.8326090369614958,3.1981643714491232
26: Yanyan Bao,2,19.5,2.179449471770337,3.580444182312852
27: Michał Basista,4,17.941176470588236,2.0757705868933987,2.641533066739167
28: Kai-Min Chang,1,20.033320084790674,1.5917014533188751,2.857513308005932
29: Kevin Chen,3,22.191176470588236,1.5725412647723318,3.8605465717825433
30: Xuehong Chen,3,20.147058823529413,1.656093916063799,3.031642528275781
