Nr,imię,nazwisko,participant_name,original_rank,mean_rank_mc,std_rank_mc,min_rank_mc,max_rank_mc,rank_range_mc,rank_95_lower,rank_95_upper
29,Kevin,Chen,Kevin Chen,1,1.0,0.0,1,1,0,1,1
62,Eric,Lu,Eric Lu,2,2.013,0.11327400407860576,2,3,1,2,2
24,Piotr,Alexewicz,Piotr Alexewicz,3,3.194,0.4223316232535755,2,4,2,3,4
64,Tianyao,Lyu,Tianyao Lyu,4,3.793,0.4100621904053091,2,4,2,3,4
51,Shiori,Kuwahara,Shiori Kuwahara,5,5.464,0.4987023160162784,5,6,1,5,6
73,Vincent,Ong,Vincent Ong,6,5.536,0.4987023160162784,5,6,1,5,6
47,David,Khrikuli,David Khrikuli,7,7.061,0.23933031567271207,7,8,1,7,8
5,Zitong,Wang,Zitong Wang,8,7.94,0.24166091947189144,7,9,2,7,8
15,William,Yang,William Yang,9,8.999,0.03160696125855822,8,9,1,9,9
81,Miyu,Shindo,Miyu Shindo,10,10.0,0.0,10,10,0,10,10
57,Tianyou,Li,Tianyou Li,11,11.0,0.0,11,11,0,11,11
