Nr,imię,nazwisko,participant_name,original_rank,mean_rank_mc,std_rank_mc,min_rank_mc,max_rank_mc,rank_range_mc,rank_95_lower,rank_95_upper
29,Kevin,Chen,Kevin Chen,1,1.003,0.054690035655501276,1,2,1,1,1
41,Eric,Guo,Eric Guo,2,1.997,0.054690035655501276,1,2,1,2,2
73,Vincent,Ong,Vincent Ong,3,3.839,0.8240624976298825,3,6,3,3,5
64,Tianyao,Lyu,Tianyao Lyu,4,3.861,0.7960395718806949,3,6,3,3,5
51,Shiori,Kuwahara,Shiori Kuwahara,5,4.356,0.8217444858348609,3,6,3,3,6
81,Miyu,Shindo,Miyu Shindo,6,5.996,0.34056423769973265,4,7,3,5,7
62,Eric,Lu,Eric Lu,7,6.948,0.22202702538204666,6,7,1,6,7
11,Yifan,Wu,Yifan Wu,8,8.299,0.45999891304219404,8,10,2,8,9
46,Adam,Kałduński,Adam Kałduński,9,8.717,0.4846761805576998,8,11,3,8,9
77,Hao,Rao,Hao Rao,10,10.506,0.6371530428397875,9,14,5,10,12
68,Nathalia,Milstein,Nathalia Milstein,11,10.598,0.6406215731615663,9,15,6,10,12
63,Philipp,Lynov,Philipp Lynov,12,13.091,1.128148483135088,10,18,8,11,15
54,Hyuk,Lee,Hyuk Lee,13,13.153,1.088848474306687,10,17,7,12,16
53,Hyo,Lee,Hyo Lee,14,13.31,1.235273249123448,10,17,7,11,16
78,Anthony,Ratinov,Anthony Ratinov,15,15.357,1.370237570642405,11,20,9,12,18
5,Zitong,Wang,Zitong Wang,16,16.101,1.1157056063317061,12,19,7,13,18
24,Piotr,Alexewicz,Piotr Alexewicz,17,16.175,1.1791416369546113,12,19,7,14,18
75,Piotr,Pawlak,Piotr Pawlak,18,18.148,0.9930236653776181,12,22,10,16,20
58,Xiaoxuan,Li,Xiaoxuan Li,19,18.907,0.8990834221583668,16,22,6,17,21
3,Tomoharu,Ushida,Tomoharu Ushida,20,20.038,0.8429448380528822,17,23,6,18,22
20,Jacky,Zhang,Jacky Zhang,21,21.19,0.8762990357178309,18,25,7,19,23
76,Yehuda,Prokopowicz,Yehuda Prokopowicz,22,21.489,0.7588669185041604,18,23,5,20,23
67,Ruben,Micieli,Ruben Micieli,23,23.193,0.6750933268815505,21,27,6,22,25
45,Zihan,Jin,Zihan Jin,24,24.976,1.02441397881911,23,28,5,23,27
47,David,Khrikuli,David Khrikuli,25,25.209,1.2447164335703131,23,28,5,23,28
39,Yang (Jack),Gao,Yang (Jack) Gao,26,25.263,1.3076050627005082,22,29,7,23,28
25,Jonas,Aumiller,Jonas Aumiller,27,26.63,1.1167363162358426,22,29,7,24,29
30,Xuehong,Chen,Xuehong Chen,28,27.989,0.784142206490634,24,30,6,26,29
26,Yanyan,Bao,Yanyan Bao,29,28.774,0.7854450967445147,25,31,6,27,30
31,Zixi,Chen,Zixi Chen,30,30.239,0.5673438111057527,29,31,2,29,31
15,William,Yang,William Yang,31,30.648,0.5311271034319375,28,31,3,29,31
59,Zhexiang,Li,Zhexiang Li,32,32.699,0.8720086008750144,32,36,4,32,35
55,Kwanwook,Lee,Kwanwook Lee,33,33.106,0.9059602640292784,32,36,4,32,35
83,Gabriele,Strata,Gabriele Strata,34,33.669,1.03123178771797,32,36,4,32,35
69,Yumeka,Nakagawa,Yumeka Nakagawa,35,34.92,1.0888526071052957,32,40,8,32,37
35,Yubo,Deng,Yubo Deng,36,36.263,1.055381921391493,33,40,7,34,39
57,Tianyou,Li,Tianyou Li,37,36.835,0.9590490081325355,34,40,6,35,39
12,Miki,Yamagata,Miki Yamagata,38,38.564,1.0079206317959764,35,41,6,37,40
43,Xiaoyu,Hu,Xiaoyu Hu,39,38.865,1.208625252094296,34,42,8,36,41
28,Kai-Min,Chang,Kai-Min Chang,40,39.152,0.9843251495313934,35,42,7,37,40
65,Tiankun,Ma,Tiankun Ma,41,41.266,0.6566917084903692,39,44,5,40,43
