Nr,imię,nazwisko,stages,n_stages,cluster,mean_score,std_score
3,Tomoharu,Ushida,"stage1, stage2, stage3",3,0,20.812295075065975,1.6913267800628402
5,Zitong,Wang,"stage1, stage2, stage3, final",4,2,21.11192810457516,2.2363253277913118
11,Yifan,Wu,"stage1, stage2, stage3",3,2,20.6061348781937,1.769158021805004
12,Miki,Yamagata,"stage1, stage2",2,0,20.299700864959927,1.910834382668843
15,William,Yang,"stage1, stage2, stage3, final",4,0,20.84332948865821,2.2348436906129527
20,Jacky,Zhang,"stage1, stage2",2,2,20.240877335548163,1.972946169380575
24,Piotr,Alexewicz,"stage1, stage2, stage3, final",4,2,20.955882352941178,2.054727519644014
25,Jonas,Aumiller,"stage1, stage2",2,2,20.387936159077572,1.6684539111846195
26,Yanyan,Bao,"stage1, stage2",2,2,20.12323027672463,2.0359143761336935
28,Kai-Min,Chang,"stage1, stage2",2,2,20.423883871495875,1.5258118346114247
29,Kevin,Chen,"stage1, stage2, stage3, final",4,0,22.191176470588236,1.918156398314102
30,Xuehong,Chen,"stage1, stage2",2,2,20.446759688489337,1.4921270653887515
31,Zixi,Chen,"stage1, stage2",2,2,20.240877335548163,1.6875249532586172
35,Yubo,Deng,"stage1, stage2",2,2,20.056236812672346,1.8965240579713833
39,Yang (Jack),Gao,"stage1, stage2, stage3",3,0,20.51789958407605,2.414041183178417
41,Eric,Guo,"stage1, stage2, stage3",3,2,20.8561348781937,2.1154938778057537
43,Xiaoyu,Hu,"stage1, stage2",2,2,20.020289100254043,2.297682505002892
45,Zihan,Jin,"stage1, stage2",2,2,20.270289100254043,1.610489303952392
46,Adam,Kałduński,"stage1, stage2",2,2,20.518741112637944,1.8971622041563583
47,David,Khrikuli,"stage1, stage2, stage3, final",4,2,20.63235294117647,2.801409089815103
51,Shiori,Kuwahara,"stage1, stage2, stage3, final",4,2,21.220588235294116,2.304088437845163
53,Hyo,Lee,"stage1, stage2, stage3",3,2,20.82220814960753,1.4574996308406398
54,Hyuk,Lee,"stage1, stage2, stage3",3,0,20.67514932607812,1.654040829542603
55,Kwanwook,Lee,"stage1, stage2",2,2,20.049700864959927,1.6188079636550354
57,Tianyou,Li,"stage1, stage2, stage3, final",4,0,20.647058823529413,2.149381763818936
58,Xiaoxuan,Li,"stage1, stage2, stage3",3,1,20.393908811296356,1.8907744998547868
59,Zhexiang,Li,"stage1, stage2",2,2,20.137936159077572,1.8944156181981784
62,Eric,Lu,"stage1, stage2, stage3, final",4,0,22.072904652056902,1.9468877626398038
63,Philipp,Lynov,"stage1, stage2",2,2,20.394123941883006,1.692347852513794
64,Tianyao,Lyu,"stage1, stage2, stage3, final",4,0,21.233359133126932,2.10803972643606
67,Ruben,Micieli,"stage1, stage2",2,2,20.270289100254043,1.883852350568397
68,Nathalia,Milstein,"stage1, stage2",2,2,20.417347923783456,1.9808783979318858
69,Yumeka,Nakagawa,"stage1, stage2",2,2,20.314406747312866,1.8966671118909164
73,Vincent,Ong,"stage1, stage2, stage3, final",4,3,21.044117647058822,2.728696717665297
75,Piotr,Pawlak,"stage1, stage2, stage3",3,1,20.341428995840758,2.5531975762404846
76,Yehuda,Prokopowicz,"stage1, stage2, stage3",3,1,20.297311348781935,1.9611031691232315
77,Hao,Rao,"stage1, stage2",2,2,20.47617145319522,2.0708561598377013
78,Anthony,Ratinov,"stage1, stage2",2,2,20.613426355156008,1.56687314693865
81,Miyu,Shindo,"stage1, stage2, stage3, final",4,0,20.794117647058822,1.8492339965543279
83,Gabriele,Strata,"stage1, stage2",2,2,20.387936159077572,2.075120843095348
