Nr,imię,nazwisko,stage1_score,stage2_score,stage3_score,final_score,stage1_weighted,stage2_weighted,stage3_weighted,final_weighted,cumulative_score,rank
62,Eric,Lu,21.82,23.03,23.29,21.41,2.182,4.606000000000001,8.151499999999999,7.493499999999999,22.43,1
29,Kevin,Chen,22.93,22.41,22.36,21.58,2.293,4.482,7.826,7.552999999999999,22.15,2
5,Zitong,Wang,21.03,20.69,22.8,20.64,2.103,4.138000000000001,7.9799999999999995,7.223999999999999,21.44,3
51,Shiori,Kuwahara,22.03,21.28,21.36,21.04,2.2030000000000003,4.256,7.475999999999999,7.363999999999999,21.3,4
64,Tianyao,Lyu,22.06,20.78,21.43,21.25,2.206,4.156000000000001,7.5005,7.437499999999999,21.3,4
24,Piotr,Alexewicz,21.02,21.08,20.74,21.3,2.102,4.216,7.258999999999999,7.455,21.03,5
73,Vincent,Ong,22.07,21.23,20.55,21.04,2.2070000000000003,4.246,7.1925,7.363999999999999,21.01,5
15,William,Yang,20.22,22.38,20.69,20.48,2.022,4.476,7.2415,7.167999999999999,20.91,6
47,David,Khrikuli,20.52,21.35,20.77,20.72,2.052,4.2700000000000005,7.269499999999999,7.251999999999999,20.84,7
57,Tianyou,Li,19.69,21.86,21.98,19.09,1.9690000000000003,4.372,7.693,6.6815,20.72,8
81,Miyu,Shindo,21.92,20.82,21.06,19.72,2.192,4.164000000000001,7.370999999999999,6.901999999999999,20.63,9
