Nr,imię,nazwisko,Garrick Ohlsson,John Alison,Yulianna Avdeeva,Michel Beroff,Sa Chen,Dang Thai Son,Akiko Ebi,Nelson Goerner,Krzysztof Jabłoński,Kevin Kenner,Momo Kodama,Robert McDonald,Piotr Paleczny,Ewa Pobłocka,K. Popowa-Zydroń,John Rink,Wojciech Świtała,avg_before_correction,avg_after_correction,corrections_made,stage_score
1,Ziye,Tao,15.309999999999999,17.0,19.0,21.0,21.0,,18.0,16.0,17.0,20.0,21.0,21.0,18.0,21.0,18.0,16.0,15.309999999999999,18.31,18.41,2,18.41
2,Chun,Lam U,12.56,14.0,18.0,16.0,17.0,,16.0,17.0,16.0,15.0,17.0,16.0,16.0,18.560000000000002,16.0,15.0,12.56,15.56,15.79,3,15.79
3,Tomoharu,Ushida,19.0,17.75,20.0,19.0,22.0,21.0,23.75,23.75,20.0,19.0,22.0,23.75,,22.0,23.0,19.0,18.0,20.75,20.81,4,20.81
4,Ryan,Wang,17.0,19.0,19.0,17.0,20.12,16.0,18.0,18.0,15.0,17.0,17.0,15.0,16.0,15.0,17.0,18.0,16.0,17.12,17.07,1,17.07
5,Zitong,Wang,22.0,21.0,21.0,17.81,22.0,,22.0,17.81,17.81,23.0,23.0,21.0,19.0,23.0,22.0,22.0,22.0,20.81,21.03,3,21.03
6,Jan,Widlarz,19.0,16.0,20.0,17.0,20.0,17.0,17.0,17.0,16.0,19.0,20.0,18.0,21.0,21.0,,18.0,20.0,18.5,18.5,0,18.5
7,Andrzej,Wierciński,17.0,18.0,21.0,22.06,20.0,18.0,21.0,16.06,16.06,16.06,21.0,20.0,21.0,17.0,19.0,21.0,,19.06,19.02,4,19.02
8,Krzysztof,Wierciński,18.0,15.29,19.0,17.0,21.29,19.0,21.0,17.0,16.0,20.0,19.0,18.0,21.29,17.0,18.0,18.0,18.0,18.29,18.4,3,18.4
9,Victoria,Wong,18.0,18.0,20.0,17.0,21.31,17.0,18.0,17.0,15.309999999999999,,18.0,19.0,20.0,20.0,18.0,19.0,17.0,18.31,18.29,2,18.29
10,Maiqi,Wu,20.0,15.620000000000001,19.0,19.0,21.0,19.0,17.0,18.0,19.0,19.0,18.0,17.0,19.0,,21.0,17.0,20.0,18.62,18.66,1,18.66
11,Yifan,Wu,20.0,20.0,19.0,24.0,23.0,20.0,23.0,24.0,19.0,20.0,24.0,20.0,21.0,22.0,21.0,22.0,23.0,21.47,21.47,0,21.47
12,Miki,Yamagata,20.0,16.47,18.0,22.0,21.0,17.0,22.0,20.0,19.0,22.47,22.47,22.0,19.0,17.0,18.0,18.0,19.0,19.47,19.61,3,19.61
13,Ryota,Yamazaki,19.0,14.530000000000001,20.0,16.0,20.53,17.0,20.53,20.0,16.0,16.0,20.53,16.0,18.0,16.0,17.0,16.0,15.0,17.53,17.54,4,17.54
14,Fanze,Yang,19.0,15.71,20.0,18.0,21.0,21.0,21.71,20.0,16.0,19.0,18.0,21.71,19.0,21.0,19.0,16.0,16.0,18.71,18.95,3,18.95
