judge,stage1_range,stage1_unique_scores,stage1_entropy,stage2_range,stage2_unique_scores,stage2_entropy,stage3_range,stage3_unique_scores,stage3_entropy,final_range,final_unique_scores,final_entropy,overall_range,overall_mean,overall_std,overall_unique_scores,overall_skewness,overall_kurtosis,scale_coverage
Garrick Ohlsson,16.0,15,3.4896682264321375,9.0,10,3.0960390324532323,9.0,10,3.1709505930119732,3.0,4,1.4911148494781075,17.0,19.387096774193548,2.982501865503445,16,-0.7008779102845065,1.4294509276424998,64.0
John Alison,15.0,16,3.6065620710610977,9.0,10,3.081286770808659,6.0,7,2.708694968552955,7.0,7,2.7321588903546834,16.0,18.65806451612903,3.2357652725535386,17,-0.4677067240843913,-0.00648992199411591,68.0
Yulianna Avdeeva,7.0,8,2.815749747771271,4.0,5,2.084282925363718,3.0,4,1.6751432458329087,6.0,7,2.7321588903546834,10.0,20.767741935483873,1.8061520488943577,11,-0.15082447461303158,0.32098724779786414,44.0
Michel Beroff,10.0,11,3.311344313631009,7.0,8,2.815957319795019,7.0,8,2.533206218192339,4.0,5,2.118078208628362,10.0,20.593548387096774,2.7677795320403082,11,-0.19252974720795807,-1.0278367955405954,44.0
Sa Chen,7.0,7,2.3068445841107277,5.0,6,2.2991128594406636,7.0,7,2.523219671325621,6.0,5,2.2312702538862283,7.0,21.335483870967742,1.5081602522656694,8,-0.08403457521311196,0.020214135297154545,32.0
Dang Thai Son,10.0,11,3.1013920224979548,7.0,8,2.764725516289525,6.0,7,2.6213526126031357,5.0,5,2.0588138896098536,10.0,19.153284671532848,2.35805967170309,11,0.40092882756350545,-0.730805456038528,44.0
Akiko Ebi,9.0,10,3.133210620337581,7.0,8,2.722427610814171,9.0,9,3.003701694758923,8.0,8,2.732158890210414,9.0,20.81290322580645,2.4568195983876904,10,-0.3397187442750846,-1.0655654278959297,40.0
Nelson Goerner,13.0,14,3.5635901609396745,9.0,10,3.06281489402966,7.0,8,2.8464393435168596,8.0,8,2.9139770720285956,13.0,19.89677419354839,2.9863651302121332,14,-0.21262246576145805,-0.6514871568069092,56.00000000000001
Krzysztof Jabłoński,12.0,13,3.2214438852199256,8.0,8,2.6569509625083416,8.0,8,2.765957319795019,5.0,6,2.481714572120456,13.0,18.258064516129032,2.690098234631349,14,0.30123083630543246,-0.18117676314029607,56.00000000000001
Kevin Kenner,10.0,11,3.2732021930690407,7.0,8,2.8690997452718383,8.0,9,3.0086949682644164,8.0,8,2.8453509354682804,10.0,19.94736842105263,2.454291283929271,11,-0.16350547930502032,-0.7009322451896378,44.0
Momo Kodama,8.0,9,2.963805214863153,9.0,10,3.1582946573450594,4.0,5,2.0086949688414943,5.0,6,2.413088435560141,9.0,20.677419354838708,2.164032925248799,10,0.021427618417082822,-0.9188088603009139,40.0
Robert McDonald,9.0,10,3.0719955394159317,8.0,9,2.8226057372545004,6.0,7,2.733371663260814,4.0,5,2.281036111832076,9.0,20.02857142857143,2.232688504736761,10,-0.23221088524698985,-0.6808881765673944,40.0
Piotr Paleczny,9.0,10,2.933529879267531,9.0,9,2.9349535794764705,5.0,6,2.46506946095022,6.0,6,2.481714572120456,9.0,20.2317880794702,2.11410810843782,10,0.08959095352301762,-0.959640045942801,40.0
Ewa Pobłocka,10.0,11,3.299906726412576,13.0,12,3.432303341720483,10.0,10,3.239097916546091,8.0,8,2.9139770720285956,13.0,19.591836734693878,2.9178202236769457,13,-0.1461087581455489,-0.9241724258070758,52.0
K. Popowa-Zydroń,9.0,10,3.1210936536022786,9.0,9,2.9633816196942813,7.0,8,2.865576854053092,6.0,7,2.646439343661129,9.0,19.794520547945204,2.195630181386064,10,0.033091211422102966,-0.6700964595536121,40.0
John Rink,12.0,14,3.4068061813311847,9.0,10,3.1369258330382253,7.0,8,2.8659573197950188,5.0,6,2.550340708680771,12.0,19.846387096774194,2.676057013682382,14,-0.11225326557617997,-0.5489649719612322,56.00000000000001
Wojciech Świtała,13.0,12,3.258582533041462,8.0,9,2.914911220151589,5.0,6,2.4414460702999046,4.0,5,2.2312702538862283,13.0,19.47682119205298,2.446336461039343,12,-0.361443491984353,-0.04710480486606361,48.0
