Nr,imię,nazwisko,Garrick Ohlsson,John Alison,Yulianna Avdeeva,Michel Beroff,Sa Chen,Dang Thai Son,Akiko Ebi,Nelson Goerner,Krzysztof Jabłoński,Kevin Kenner,Momo Kodama,Robert McDonald,Piotr Paleczny,Ewa Pobłocka,K. Popowa-Zydroń,John Rink,Wojciech Świtała,avg_before_correction,avg_after_correction,corrections_made,stage_score
3,Tomoharu,Ushida,20.0,19.19,23.19,23.19,22.0,19.19,21.0,21.0,23.19,22.0,21.0,22.0,,22.0,20.0,19.19,19.19,21.19,21.08,7,21.08
5,Zitong,Wang,22.0,22.0,22.56,21.0,22.0,,21.0,18.56,18.56,22.56,19.0,22.56,18.56,22.56,18.56,21.0,18.56,20.56,20.69,9,20.69
11,Yifan,Wu,21.0,19.0,21.0,22.35,21.0,18.35,22.35,22.0,18.35,20.0,22.35,20.0,19.0,18.35,18.35,20.0,22.0,20.35,20.32,7,20.32
12,Miki,Yamagata,19.0,18.24,21.0,22.24,20.0,18.24,22.0,21.0,18.24,22.0,22.24,21.0,18.24,18.24,21.0,21.0,22.24,20.24,20.35,8,20.35
15,William,Yang,21.0,20.0,20.0,23.0,24.0,24.0,24.0,20.0,22.0,24.0,22.0,,21.0,24.0,24.0,24.0,21.0,22.0,22.38,4,22.38
20,Jacky,Zhang,19.0,19.0,20.0,20.88,20.0,19.0,18.0,18.0,16.88,18.0,18.0,19.0,20.88,19.0,17.0,18.0,19.0,18.88,18.8,3,18.8
24,Piotr,Alexewicz,19.0,22.88,22.0,22.0,22.0,19.0,22.88,22.88,18.88,18.88,22.0,21.0,21.0,21.0,21.0,21.0,21.0,20.88,21.08,5,21.08
25,Jonas,Aumiller,19.0,20.0,21.0,20.0,21.0,21.76,21.76,21.76,18.0,17.76,21.0,20.0,19.0,19.0,17.76,20.0,18.0,19.76,19.81,5,19.81
26,Yanyan,Bao,18.0,18.0,21.0,19.0,21.0,17.0,18.0,18.0,17.0,19.0,17.0,19.0,21.0,17.0,19.0,20.0,21.0,19.0,18.82,4,18.82
28,Kai-Min,Chang,21.0,20.0,20.0,21.0,22.56,,18.56,22.0,19.0,21.0,20.0,20.0,18.56,22.56,20.0,22.0,20.0,20.56,20.52,4,20.52
29,Kevin,Chen,20.24,22.0,23.0,24.0,24.0,20.24,23.0,23.0,24.0,24.0,23.0,22.0,22.0,20.24,20.24,22.0,24.0,22.24,22.41,4,22.41
30,Xuehong,Chen,18.0,19.0,21.0,20.0,21.0,19.0,21.88,19.0,19.0,20.0,17.88,21.88,21.88,17.88,21.88,18.0,21.0,19.88,19.9,6,19.9
31,Zixi,Chen,21.24,17.24,21.0,21.0,21.0,17.24,18.0,21.24,19.0,21.0,21.24,21.0,17.24,17.24,18.0,17.24,18.0,19.24,19.29,8,19.29
35,Yubo,Deng,17.06,17.06,20.0,19.0,21.06,,21.06,21.06,18.0,17.06,19.0,19.0,21.0,21.0,20.0,17.06,17.06,19.06,19.09,8,19.09
39,Yang (Jack),Gao,23.0,19.0,20.0,21.0,23.0,19.0,23.0,23.0,19.0,20.0,23.0,23.0,19.0,23.0,20.0,23.0,19.0,21.0,21.18,10,21.18
41,Eric,Guo,18.41,19.0,22.0,22.41,21.0,18.41,18.41,22.0,20.0,20.0,22.41,21.0,20.0,21.0,18.41,22.0,19.0,20.41,20.32,6,20.32
43,Xiaoyu,Hu,20.0,20.0,20.94,18.0,20.94,18.0,17.0,17.0,17.0,20.0,18.0,20.0,20.0,20.94,18.0,17.0,17.0,18.94,18.81,3,18.81
45,Zihan,Jin,21.0,21.06,20.0,18.0,20.0,20.0,17.06,21.0,21.0,21.06,17.06,21.0,17.06,18.0,17.06,18.0,17.06,19.06,19.14,7,19.14
46,Adam,Kałduński,21.0,17.62,21.62,21.0,20.0,18.0,20.0,20.0,17.62,18.0,20.0,21.0,21.0,18.0,,21.62,19.0,19.62,19.72,4,19.72
47,David,Khrikuli,19.0,23.0,23.0,23.0,23.0,22.0,23.0,23.0,19.0,23.0,23.0,19.0,19.0,19.0,19.0,23.0,20.0,21.0,21.35,7,21.35
51,Shiori,Kuwahara,21.0,20.0,22.0,23.12,23.0,19.12,23.0,22.0,19.12,19.12,23.0,19.12,22.0,23.12,22.0,21.0,20.0,21.12,21.28,6,21.28
53,Hyo,Lee,22.0,22.0,22.0,20.0,20.0,21.0,22.81,20.0,20.0,20.0,20.0,20.0,22.81,,19.0,19.0,22.0,20.81,20.79,2,20.79
54,Hyuk,Lee,18.88,20.0,20.0,22.88,20.0,20.0,22.0,20.0,21.0,21.0,19.0,22.88,22.0,,21.0,21.0,21.0,20.88,20.79,3,20.79
55,Kwanwook,Lee,20.82,17.0,20.0,20.0,20.82,20.82,20.0,18.0,18.0,20.82,17.0,18.0,18.0,17.0,18.0,17.0,17.0,18.82,18.72,4,18.72
57,Tianyou,Li,23.0,20.0,23.0,21.0,23.71,19.71,23.0,23.0,23.71,23.0,19.71,22.0,19.71,22.0,20.0,23.0,22.0,21.71,21.86,5,21.86
58,Xiaoxuan,Li,22.0,18.25,21.0,22.25,20.0,18.25,21.0,20.0,18.25,22.25,18.25,,22.0,22.25,19.0,19.0,21.0,20.25,20.3,7,20.3
59,Zhexiang,Li,19.0,21.24,21.24,21.0,21.0,21.24,21.24,17.24,17.24,19.0,17.24,17.24,19.0,17.24,17.24,19.0,18.0,19.24,19.08,10,19.08
62,Eric,Lu,24.0,23.0,21.0,24.0,22.0,,24.0,24.87,20.87,22.0,24.0,,22.0,24.87,22.0,24.87,22.0,22.87,23.03,4,23.03
63,Philipp,Lynov,19.0,21.0,21.0,18.0,21.0,18.0,17.0,20.0,18.0,17.0,21.0,17.0,18.0,17.0,17.0,20.0,18.0,19.0,18.71,3,18.71
64,Tianyao,Lyu,19.0,18.88,20.0,22.88,21.0,20.0,22.0,21.0,18.88,21.0,20.0,20.0,22.88,22.88,,20.0,22.0,20.88,20.78,5,20.78
67,Ruben,Micieli,21.12,17.12,21.12,21.0,21.0,18.0,17.12,21.0,19.0,19.0,21.0,17.12,20.0,17.12,17.12,20.0,17.12,19.12,19.12,8,19.12
68,Nathalia,Milstein,21.0,21.0,20.0,21.06,20.0,17.06,20.0,21.0,17.06,21.0,19.0,20.0,17.06,17.06,17.06,21.0,17.06,19.06,19.26,7,19.26
