Nr,imię,nazwisko,Garrick Ohlsson,John Alison,Yulianna Avdeeva,Michel Beroff,Sa Chen,Dang Thai Son,Akiko Ebi,Nelson Goerner,Krzysztof Jabłoński,Kevin Kenner,Momo Kodama,Robert McDonald,Piotr Paleczny,Ewa Pobłocka,K. Popowa-Zydroń,John Rink,Wojciech Świtała
3,Tomoharu,Ushida,14.230769230769232,11.467477943646156,13,10.550799606900993,14.228590233667902,11.75565796632349,11.319663899166388,7.509687820017094,16.748356868211662,11.262511028947722,8.707878058934941,19.144972234329767,,13.481543412343076,18.23722936566382,10.822675784192732,10.258763600707681
5,Zitong,Wang,17.307692307692307,17.214435654973066,17,19.069757495941026,16.685770701003708,,17.720944283294433,15.796951487915823,10.32260223699167,19.94995588420911,16.282210896108577,16.922322702763683,8.309584240176571,19.260064360459996,12.018019493938036,19.894860016723023,18.090867598685733
11,Yifan,Wu,12.692307692307693,9.551825373203853,9,16.94001802368102,6.857048831660488,6.778289831617449,12.919983995198399,9.581503736991777,12.464520447398334,11.262511028947722,16.282210896108577,12.477023639631511,11.010126647347636,9.147652701255383,9.94494953669611,10.822675784192732,10.258763600707681
15,William,Yang,14.230769230769232,9.551825373203853,9,10.550799606900993,14.228590233667902,14.24434203367651,9.719343803134375,5.437871903042412,14.606438657804997,18.21246691315683,11.232655671326153,,8.309584240176571,12.036913175313845,20.310299322905745,16.265986323710905,18.090867598685733
24,Piotr,Alexewicz,9.615384615384617,13.383130514088458,17,16.94001802368102,14.228590233667902,16.73302610102953,16.120624187262422,15.796951487915823,10.32260223699167,13.0,16.282210896108577,8.03172457649934,8.309584240176571,12.036913175313845,9.94494953669611,12.63711263069879,12.86946493336703
29,Kevin,Chen,6.53846153846154,15.298783084530761,17,16.94001802368102,16.685770701003708,21.71039423573557,14.52030409123041,13.725135570941141,23.174111499431653,16.474977942104555,16.282210896108577,19.144972234329767,19.111753868860834,10.592282938284615,14.091089451179963,16.265986323710905,18.090867598685733
39,Yang (Jack),Gao,20.384615384615387,9.551825373203853,9,8.421060134640985,14.228590233667902,6.778289831617449,4.918383515038343,7.509687820017094,6.038765816178342,9.525022057895445,8.707878058934941,14.699673171197597,5.609041833005505,13.481543412343076,16.16415940842189,19.894860016723023,12.86946493336703
41,Eric,Guo,8.076923076923078,7.63617280276155,13,14.81027855142101,9.314229298996292,9.26697389897047,14.52030409123041,11.65331965396646,8.180684026585006,9.525022057895445,18.80698850849979,10.254374108065425,8.309584240176571,9.147652701255383,7.871879579454181,14.451549477204848,10.258763600707681
47,David,Khrikuli,9.615384615384617,19.13008822541537,17,16.94001802368102,16.685770701003708,14.24434203367651,4.918383515038343,17.868767404890505,14.606438657804997,11.262511028947722,13.757433283717365,12.477023639631511,13.710669054518702,4.813761990167693,9.94494953669611,16.265986323710905,10.258763600707681
51,Shiori,Kuwahara,9.615384615384617,13.383130514088458,17,16.94001802368102,16.685770701003708,11.75565796632349,12.919983995198399,17.868767404890505,12.464520447398334,6.0500441157908895,16.282210896108577,16.922322702763683,11.010126647347636,16.370803886401536,18.23722936566382,12.63711263069879,15.480166266026382
53,Hyo,Lee,14.230769230769232,11.467477943646156,17,10.550799606900993,9.314229298996292,16.73302610102953,17.720944283294433,13.725135570941141,8.180684026585006,14.737488971052278,8.707878058934941,14.699673171197597,16.411211461689767,,12.018019493938036,9.008238937686674,12.86946493336703
54,Hyuk,Lee,8.076923076923078,7.63617280276155,9,16.94001802368102,11.771409766332098,14.24434203367651,16.120624187262422,11.65331965396646,12.464520447398334,9.525022057895445,8.707878058934941,10.254374108065425,13.710669054518702,,12.018019493938036,9.008238937686674,12.86946493336703
57,Tianyou,Li,15.76923076923077,19.13008822541537,21,12.680539079161,21.600131635675318,11.75565796632349,14.52030409123041,17.868767404890505,14.606438657804997,14.737488971052278,8.707878058934941,12.477023639631511,13.710669054518702,14.926173649372306,16.16415940842189,18.080423170216964,15.480166266026382
58,Xiaoxuan,Li,15.76923076923077,9.551825373203853,9,6.291320662380976,9.314229298996292,9.26697389897047,11.319663899166388,9.581503736991777,12.464520447398334,14.737488971052278,8.707878058934941,,13.710669054518702,16.370803886401536,9.94494953669611,7.193802091180617,7.64806226804833
62,Eric,Lu,17.307692307692307,19.13008822541537,9,14.81027855142101,16.685770701003708,,19.321264379326443,19.94058332186519,14.606438657804997,18.21246691315683,18.80698850849979,,16.411211461689767,19.260064360459996,18.23722936566382,18.080423170216964,20.701568931345083
64,Tianyao,Lyu,11.153846153846155,13.383130514088458,13,10.550799606900993,11.771409766332098,11.75565796632349,8.119023707102365,15.796951487915823,16.748356868211662,16.474977942104555,16.282210896108577,16.922322702763683,19.111753868860834,17.815434123430766,,10.822675784192732,18.090867598685733
73,Vincent,Ong,8.076923076923078,7.63617280276155,9,10.550799606900993,14.228590233667902,19.22171016838255,14.52030409123041,15.796951487915823,14.606438657804997,14.737488971052278,18.80698850849979,5.8090750449332536,11.010126647347636,13.481543412343076,14.091089451179963,10.822675784192732,7.64806226804833
75,Piotr,Pawlak,18.846153846153847,19.13008822541537,9,10.550799606900993,4.399868364324684,11.75565796632349,16.120624187262422,9.581503736991777,8.180684026585006,6.0500441157908895,8.707878058934941,8.03172457649934,13.710669054518702,6.258392227196923,5.7988096222122545,7.193802091180617,7.64806226804833
76,Yehuda,Prokopowicz,17.307692307692307,15.298783084530761,17,4.161581190120966,9.314229298996292,9.26697389897047,8.119023707102365,13.725135570941141,10.32260223699167,7.787533086843167,11.232655671326153,8.03172457649934,16.411211461689767,10.592282938284615,7.871879579454181,9.008238937686674,7.64806226804833
81,Miyu,Shindo,11.153846153846155,11.467477943646156,9,14.81027855142101,11.771409766332098,16.73302610102953,14.52030409123041,9.581503736991777,18.890275078618323,16.474977942104555,8.707878058934941,14.699673171197597,19.111753868860834,14.926173649372306,14.091089451179963,10.822675784192732,12.86946493336703
