Nr,imię,nazwisko,participant_name,original_score,ci_lower,ci_upper,ci_width,std_bootstrap,n_judges,rank,rank_ci_lower,rank_ci_upper,rank_uncertainty
29,Kevin,Chen,Kevin Chen,21.58235294117647,20.93823529411765,22.264705882352942,1.326470588235292,0.34168124241562475,17,1.0,1.0,1.0,0.0
62,Eric,Lu,Eric Lu,21.408,20.670666666666666,22.184666666666665,1.5139999999999993,0.3883960254511135,15,2.0,2.0,2.0,0.0
24,Piotr,Alexewicz,Piotr Alexewicz,21.295882352941174,20.606867647058824,22.001955882352938,1.3950882352941143,0.34936755831270877,17,3.0,4.0,3.0,-1.0
64,Tianyao,Lyu,Tianyao Lyu,21.247500000000002,20.442125000000004,22.0676875,1.6255624999999974,0.4198123151778661,16,4.0,3.0,4.0,1.0
51,Shiori,Kuwahara,Shiori Kuwahara,21.043529411764705,20.299999999999997,21.738823529411764,1.438823529411767,0.3689589017932172,17,5.0,6.0,5.0,-1.0
73,Vincent,Ong,Vincent Ong,21.03529411764706,20.274029411764708,21.866911764705883,1.5928823529411744,0.422400302373214,17,6.0,5.0,6.0,1.0
47,David,Khrikuli,David Khrikuli,20.71764705882353,19.949632352941176,21.465073529411764,1.5154411764705884,0.3856992524706282,17,7.0,7.0,7.0,0.0
5,Zitong,Wang,Zitong Wang,20.640625,19.93671875,21.328125,1.3914062499999993,0.3545166163242564,16,8.0,8.0,8.0,0.0
15,William,Yang,William Yang,20.478749999999998,19.68125,21.252499999999998,1.5712499999999991,0.39954623436898695,16,9.0,9.0,9.0,0.0
81,Miyu,Shindo,Miyu Shindo,19.716470588235296,19.187058823529412,20.2220294117647,1.0349705882352893,0.25104450308956755,17,10.0,10.0,10.0,0.0
57,Tianyou,Li,Tianyou Li,19.09058823529412,18.502205882352943,19.678823529411765,1.1766176470588228,0.3075884590776862,17,11.0,11.0,11.0,0.0
