Nr,imię,nazwisko,participant_name,original_score,ci_lower,ci_upper,ci_width,std_bootstrap,n_judges,rank,rank_ci_lower,rank_ci_upper,rank_uncertainty
62,Eric,Lu,Eric Lu,23.032,22.36511666666667,23.664433333333335,1.299316666666666,0.3423614651628372,15,1.0,1.0,1.0,0.0
29,Kevin,Chen,Kevin Chen,22.40941176470588,21.745529411764704,23.04235294117647,1.2968235294117676,0.32578764322621795,17,2.0,3.0,2.0,-1.0
15,William,Yang,William Yang,22.375,21.5625,23.125,1.5625,0.4033316524586187,16,3.0,2.0,3.0,1.0
57,Tianyou,Li,Tianyou Li,21.855882352941176,21.174279411764704,22.55430882352941,1.3800294117647063,0.36245702454670764,17,4.0,4.0,4.0,0.0
47,David,Khrikuli,David Khrikuli,21.352941176470587,20.470588235294116,22.235294117647058,1.764705882352942,0.4575161426236737,17,5.0,5.0,6.0,1.0
51,Shiori,Kuwahara,Shiori Kuwahara,21.277647058823533,20.578823529411768,21.983529411764707,1.404705882352939,0.3694281119200547,17,6.0,8.0,5.0,-3.0
73,Vincent,Ong,Vincent Ong,21.23294117647059,20.416470588235295,22.011941176470593,1.5954705882352975,0.4146248766341395,17,7.0,6.0,8.0,2.0
39,Yang (Jack),Gao,Yang (Jack) Gao,21.176470588235293,20.352941176470587,22.0,1.647058823529413,0.42895892319133205,17,8.0,7.0,10.0,3.0
3,Tomoharu,Ushida,Tomoharu Ushida,21.083125,20.380328125,21.785843749999998,1.4055156249999996,0.3600918756194166,16,9.0,9.0,9.0,0.0
24,Piotr,Alexewicz,Piotr Alexewicz,21.08235294117647,20.435294117647057,21.781176470588235,1.345882352941178,0.33926643417290986,17,10.0,10.0,7.0,-3.0
81,Miyu,Shindo,Miyu Shindo,20.82176470588235,20.11545588235294,21.52764705882353,1.4121911764705892,0.3695491153608866,17,11.0,12.0,13.0,1.0
54,Hyuk,Lee,Hyuk Lee,20.79,20.235,21.3525,1.1174999999999997,0.28844935188001364,16,12.0,15.0,12.0,-3.0
53,Hyo,Lee,Hyo Lee,20.78875,20.237828125,21.35125,1.1134218750000002,0.30071330018183445,16,13.0,16.0,11.0,-5.0
64,Tianyao,Lyu,Tianyao Lyu,20.775,20.0948125,21.455187499999997,1.3603749999999977,0.34090095994841363,16,14.0,13.0,14.0,1.0
