stage,judge1,judge2,cohens_kappa,observed_agreement,expected_agreement,n_participants,interpretation
stage2,Ewa Pobłocka,K. Popowa-Zydroń,0.5514018691588786,0.7777777777777778,0.5046296296296297,36,moderate
stage2,Sa Chen,John Rink,0.49622166246851385,0.75,0.50375,40,moderate
stage2,Akiko Ebi,Nelson Goerner,0.4884910485933504,0.75,0.51125,40,moderate
stage2,Piotr Paleczny,Wojciech Świtała,0.48548812664907653,0.7435897435897436,0.5016436554898094,39,moderate
stage1,Ewa Pobłocka,Wojciech Świtała,0.47540983606557374,0.7894736842105263,0.5986842105263158,76,moderate
stage2,K. Popowa-Zydroń,John Rink,0.4692737430167596,0.7368421052631579,0.5041551246537397,38,moderate
stage2,Momo Kodama,John Rink,0.4444444444444444,0.725,0.505,40,moderate
stage1,Sa Chen,Ewa Pobłocka,0.4375000000000002,0.775,0.5999999999999999,80,moderate
stage2,Nelson Goerner,Momo Kodama,0.43298969072164945,0.725,0.515,40,moderate
stage1,Michel Beroff,Wojciech Świtała,0.4285714285714285,0.8,0.6500000000000001,80,moderate
stage1,Piotr Paleczny,Wojciech Świtała,0.4243542435424351,0.7948717948717948,0.6436554898093361,78,moderate
stage2,Sa Chen,Ewa Pobłocka,0.4178272980501393,0.7105263157894737,0.502770083102493,38,moderate
stage2,Sa Chen,K. Popowa-Zydroń,0.4112676056338029,0.7105263157894737,0.5083102493074791,38,moderate
stage1,Nelson Goerner,Momo Kodama,0.4105263157894736,0.8095238095238095,0.6768707482993198,84,moderate
stage1,Yulianna Avdeeva,Michel Beroff,0.41000877963125526,0.8095238095238095,0.677154195011338,84,moderate
stage1,Nelson Goerner,Ewa Pobłocka,0.4078947368421055,0.775,0.6199999999999999,80,moderate
stage1,Akiko Ebi,Ewa Pobłocka,0.4047619047619048,0.75,0.58,80,moderate
stage2,Dang Thai Son,Akiko Ebi,0.4,0.6944444444444444,0.4907407407407407,36,weak
stage1,Akiko Ebi,Nelson Goerner,0.3963691376701968,0.7738095238095238,0.6252834467120181,84,weak
stage1,Michel Beroff,John Rink,0.389830508474576,0.7857142857142857,0.648809523809524,84,weak
stage1,Sa Chen,Momo Kodama,0.38834951456310685,0.7857142857142857,0.6496598639455782,84,weak
stage2,Sa Chen,Akiko Ebi,0.3861892583120204,0.7,0.51125,40,weak
stage2,Sa Chen,Nelson Goerner,0.3861892583120204,0.7,0.51125,40,weak
stage1,Kevin Kenner,Robert McDonald,0.37499999999999983,0.76,0.6160000000000001,75,weak
stage1,Sa Chen,Akiko Ebi,0.3654676258992808,0.75,0.6060090702947845,84,weak
stage2,Michel Beroff,Kevin Kenner,0.3596059113300493,0.675,0.4925,40,weak
stage1,Momo Kodama,Ewa Pobłocka,0.358974358974359,0.75,0.61,80,weak
stage1,Ewa Pobłocka,K. Popowa-Zydroń,0.3573264781491002,0.7333333333333333,0.5850666666666666,75,weak
stage1,Momo Kodama,Wojciech Świtała,0.357142857142857,0.775,0.6500000000000001,80,weak
stage1,Sa Chen,Wojciech Świtała,0.3559322033898306,0.7625,0.6312499999999999,80,weak
stage1,Michel Beroff,Piotr Paleczny,0.3552266419981499,0.7926829268292683,0.6784651992861392,82,weak
stage2,John Alison,Yulianna Avdeeva,0.35323383084577126,0.675,0.4975,40,weak
stage2,K. Popowa-Zydroń,Wojciech Świtała,0.3522727272727273,0.6842105263157895,0.5124653739612188,38,weak
stage1,John Alison,John Rink,0.3448275862068964,0.7738095238095238,0.6547619047619049,84,weak
stage1,Michel Beroff,Sa Chen,0.3426688632619439,0.7738095238095238,0.6558956916099774,84,weak
stage1,Piotr Paleczny,John Rink,0.34038950042337013,0.7682926829268293,0.648720999405116,82,weak
stage1,Dang Thai Son,Ewa Pobłocka,0.33333333333333354,0.7428571428571429,0.6142857142857142,70,weak
stage2,John Alison,Dang Thai Son,0.33333333333333326,0.6666666666666666,0.5,36,weak
stage2,Robert McDonald,John Rink,0.3312693498452012,0.6666666666666666,0.5015432098765432,36,weak
stage2,Michel Beroff,Momo Kodama,0.3298969072164949,0.675,0.515,40,weak
stage2,Sa Chen,Momo Kodama,0.3298969072164949,0.675,0.515,40,weak
stage2,Akiko Ebi,Momo Kodama,0.3298969072164949,0.675,0.515,40,weak
stage1,Garrick Ohlsson,Yulianna Avdeeva,0.32876712328767127,0.75,0.6275510204081632,84,weak
stage1,Piotr Paleczny,Ewa Pobłocka,0.31660899653979246,0.7468354430379747,0.6295465470277198,79,weak
stage2,Dang Thai Son,Piotr Paleczny,0.3159609120521173,0.6571428571428571,0.4987755102040816,35,weak
stage1,Michel Beroff,Momo Kodama,0.3144329896907216,0.7738095238095238,0.6700680272108844,84,weak
stage1,Yulianna Avdeeva,Momo Kodama,0.3144329896907216,0.7738095238095238,0.6700680272108844,84,weak
stage1,Garrick Ohlsson,K. Popowa-Zydroń,0.3075697211155377,0.7215189873417721,0.5978208620413396,79,weak
stage2,John Alison,John Rink,0.3017456359102246,0.65,0.49874999999999997,40,weak
stage1,Momo Kodama,John Rink,0.29999999999999993,0.75,0.6428571428571429,84,weak
stage2,Michel Beroff,John Rink,0.2947103274559194,0.65,0.50375,40,weak
stage2,Nelson Goerner,John Rink,0.2947103274559194,0.65,0.50375,40,weak
stage2,Robert McDonald,Ewa Pobłocka,0.2916666666666667,0.6470588235294118,0.5017301038062284,34,weak
