judge1,judge2,kendall_tau,tau_p_value,pearson_r,n_common,agreement_level
Piotr Paleczny,Wojciech Świtała,0.3922639845469252,2.9893574097931996e-10,0.5261796459229742,147,weak
John Rink,Wojciech Świtała,0.38628677870160816,1.7312922832532863e-10,0.53855833344419,151,weak
Michel Beroff,Wojciech Świtała,0.38391653879012105,2.443185343443471e-10,0.5150873743017212,151,weak
Momo Kodama,John Rink,0.3828684243569206,1.7449920195254176e-10,0.4900636926281805,155,weak
Nelson Goerner,Momo Kodama,0.3584762297102045,1.9114495350344353e-09,0.4660455781045713,155,weak
Ewa Pobłocka,K. Popowa-Zydroń,0.3549901973837705,2.069100114742689e-08,0.46856091766265995,138,weak
John Alison,John Rink,0.3527809023194006,2.222986460887646e-09,0.4932711854160199,155,weak
Dang Thai Son,Akiko Ebi,0.3517466880333157,4.717041931432688e-08,0.4699918303519489,137,weak
Nelson Goerner,John Rink,0.3445033826223237,5.325857384328326e-09,0.45378803453154826,155,weak
Michel Beroff,Momo Kodama,0.3392729328899781,1.6684516844589374e-08,0.4380493127348749,155,weak
Krzysztof Jabłoński,Kevin Kenner,0.3334959524119116,3.206843978514078e-08,0.48373578429738856,152,weak
Kevin Kenner,Wojciech Świtała,0.33343787120263507,5.50572183449429e-08,0.4523034845013544,148,weak
Michel Beroff,Nelson Goerner,0.3304601645934413,2.3155145088687815e-08,0.4530996359153701,155,weak
Michel Beroff,John Rink,0.3268995151203036,3.8138021632116386e-08,0.42867029849221716,155,weak
Momo Kodama,Wojciech Świtała,0.32185252863943875,1.4453601153414766e-07,0.43742189025713113,151,weak
K. Popowa-Zydroń,Wojciech Świtała,0.3205932684986715,3.4509605056778514e-07,0.3966060592121333,142,weak
Kevin Kenner,Robert McDonald,0.31699014152453864,7.432417731446837e-07,0.40683015623671515,137,weak
John Alison,Nelson Goerner,0.3037254746704622,2.2864937467950537e-07,0.41229281487854774,155,weak
Robert McDonald,Ewa Pobłocka,0.3027547627775739,3.163464876691965e-06,0.3878751646941875,132,weak
Kevin Kenner,Ewa Pobłocka,0.2947062691512347,1.7511019906495454e-06,0.3892553723098786,144,weak
Nelson Goerner,Wojciech Świtała,0.2930662824208513,1.1362906795250224e-06,0.4373428049244753,151,weak
Nelson Goerner,Krzysztof Jabłoński,0.2901992848290172,9.549024933420484e-07,0.37594371806181553,155,weak
Akiko Ebi,John Rink,0.28597444541126577,1.7483482205777504e-06,0.3944072926344304,155,weak
Krzysztof Jabłoński,Wojciech Świtała,0.28492320859395825,2.6221003379129445e-06,0.4031450780262268,151,weak
Dang Thai Son,Kevin Kenner,0.28461707497900895,9.97503455452442e-06,0.3681364314771313,135,weak
Akiko Ebi,Wojciech Świtała,0.2731146704737352,7.514188257792941e-06,0.39517669885604184,151,weak
Michel Beroff,Krzysztof Jabłoński,0.26757886461519487,7.2311429545926154e-06,0.36328719818058697,155,weak
Akiko Ebi,Nelson Goerner,0.26106504716794865,1.1562546378822357e-05,0.3473412132745451,155,weak
K. Popowa-Zydroń,John Rink,0.2546543831061333,3.581296025189168e-05,0.3572534027781292,146,weak
John Alison,Michel Beroff,0.25326599506299613,1.8334885342363174e-05,0.3605184463112189,155,weak
Michel Beroff,Akiko Ebi,0.2520483907373092,2.6193068009957043e-05,0.3408124639463422,155,weak
Akiko Ebi,Momo Kodama,0.2509321747017657,3.360003170954438e-05,0.3393426749105242,155,weak
Krzysztof Jabłoński,Momo Kodama,0.24856763490468747,3.626113417114099e-05,0.3102017201779858,155,weak
Michel Beroff,Piotr Paleczny,0.24647434565091805,5.699588145428405e-05,0.3344656376288102,151,weak
Sa Chen,Ewa Pobłocka,0.24607698677734754,9.736250886663817e-05,0.28210720287376423,147,weak
Robert McDonald,Wojciech Świtała,0.2451198193588538,0.00013958362747424897,0.3538370481816419,136,weak
Nelson Goerner,Ewa Pobłocka,0.24391063071538951,5.51894075280102e-05,0.3094018516877765,147,weak
Dang Thai Son,Nelson Goerner,0.2433274474078378,0.00012798295988868558,0.3077731520758751,137,weak
Michel Beroff,Robert McDonald,0.23992546697284486,0.00014686467381246,0.34993348541593156,140,weak
Michel Beroff,Kevin Kenner,0.23711152889936765,8.316918066038234e-05,0.3261335043181583,152,weak
Piotr Paleczny,Ewa Pobłocka,0.23517088052668567,0.00016512533020989287,0.30948056890767944,144,weak
Ewa Pobłocka,Wojciech Świtała,0.23177904650014,0.00018502437291044978,0.3064973643731406,143,weak
Sa Chen,K. Popowa-Zydroń,0.23151473834971031,0.0003043528045326381,0.298388578815606,146,weak
