judge,mean_correlation,std_correlation,n_comparisons,mean_score,std_score
Ewa Pobłocka,0.6554455683651567,0.10053274129123653,6,19.591836734693878,2.9277957065323506
John Alison,0.6484297189703975,0.177153777366824,6,18.65806451612903,3.2462540043480432
Momo Kodama,0.6414318499531549,0.10421222576237966,6,20.677419354838708,2.171047637082176
Krzysztof Jabłoński,0.5543012698254833,0.16359547508146757,6,18.258064516129032,2.6988181869478076
Sa Chen,0.4814561579746537,0.2687407626138203,6,21.335483870967742,1.513048953100469
Piotr Paleczny,0.47375822696580894,0.19560888551562736,6,20.2317880794702,2.121143429408681
Garrick Ohlsson,0.4719099973409886,0.22080958892764496,6,19.387096774193548,2.992169644068603
Dang Thai Son,0.44994161311917424,0.21030863536913713,6,19.153284671532848,2.3667131307715032
Wojciech Świtała,0.4146991744015635,0.1335789354336025,6,19.47682119205298,2.4544773702660003
Michel Beroff,0.3875367562317249,0.10093931645653151,6,20.593548387096774,2.776751288250233
Yulianna Avdeeva,0.36229213779431796,0.23670278166632194,6,20.767741935483873,1.8120066900148486
Nelson Goerner,0.3414761536763525,0.32837031749325457,6,19.89677419354839,2.9960454315482488
K. Popowa-Zydroń,0.32258901882447016,0.2189504914814794,6,19.794520547945204,2.203188311075027
Kevin Kenner,0.2910210708073038,0.2567434101498911,6,19.94736842105263,2.4624046656752445
John Rink,0.2261952378979495,0.2526880274744031,6,19.846387096774194,2.684731451386934
Akiko Ebi,0.09657278970091966,0.1117815872849229,6,20.81290322580645,2.464783378101117
Robert McDonald,0.08878822894284066,0.16372859523268765,6,20.02857142857143,2.2407053653770723
