participant,cluster,mean_score,std_score,distance_to_center
5: Zitong Wang,0,20.745098039215687,1.7854715054382766,3.353202055316679
15: William Yang,1,20.398692810457515,2.1780537040085557,3.0266503101304663
24: Piotr Alexewicz,0,21.294117647058822,1.9926334924652145,3.0835237798022286
29: Kevin Chen,0,21.647058823529413,1.8351149988007645,3.749828415330655
47: David Khrikuli,2,20.647058823529413,2.4733877696033693,0.0
51: Shiori Kuwahara,0,20.823529411764707,2.2976970567735604,3.270990576425297
57: Tianyou Li,1,19.176470588235293,1.810914621042605,2.8728108606515
62: Eric Lu,0,21.437908496732028,1.7120986455131744,2.5343347000997256
64: Tianyao Lyu,3,21.08823529411765,2.4253562503633295,0.0
73: Vincent Ong,4,21.058823529411764,2.656844656620286,0.0
81: Miyu Shindo,1,19.58823529411765,1.5434872662825796,2.2236007664400437
