participant,cluster,mean_score,std_score,distance_to_center
3: Tomoharu Ushida,2,20.631578947368418,1.1662378845347547,2.63871794000799
5: Zitong Wang,4,22.441176470588236,2.014652210534554,2.3305569659725798
11: Yifan Wu,1,19.88235294117647,1.7636025962917663,3.1204297377719623
15: William Yang,2,20.77854671280277,1.815748271951666,2.373399066141482
24: Piotr Alexewicz,1,20.764705882352942,1.855040827202527,2.254596732247151
29: Kevin Chen,3,22.058823529411764,2.135140166221357,2.939477269341886
39: Yang (Jack) Gao,2,20.0,2.4748737341529163,3.0104185886316865
41: Eric Guo,1,19.705882352941178,2.1143765594836976,2.845331173082122
47: David Khrikuli,1,20.58823529411765,2.7626713415056217,4.143967619736086
51: Shiori Kuwahara,1,21.235294117647058,1.9535036397683614,3.635603571838447
53: Hyo Lee,1,20.745098039215687,1.4507153971054048,3.51146509952699
54: Hyuk Lee,1,20.098039215686274,1.6573267710816084,2.6503914257836105
57: Tianyou Li,4,21.941176470588236,1.519481335657587,2.7698113014799555
58: Xiaoxuan Li,0,19.896193771626297,1.2716174704869816,2.7839798008869354
62: Eric Lu,4,22.807958477508652,1.7368549077244377,2.6234680869658695
64: Tianyao Lyu,3,21.263157894736842,1.6601905574302636,2.5623850134815367
73: Vincent Ong,1,20.470588235294116,1.9402850002906638,3.538063101751714
75: Piotr Pawlak,0,19.470588235294116,2.5523921881938403,2.8292495415533607
76: Yehuda Prokopowicz,0,19.647058823529413,1.8688625039910052,2.1815930414730142
81: Miyu Shindo,3,21.058823529411764,1.2976222599091634,2.3628112904227994
