judge,stage1_mean,stage1_std,stage1_min,stage1_max,stage1_range,stage1_count,stage2_mean,stage2_std,stage2_min,stage2_max,stage2_range,stage2_count,stage3_mean,stage3_std,stage3_min,stage3_max,stage3_range,stage3_count,final_mean,final_std,final_min,final_max,final_range,final_count
Garrick Ohlsson,19.237023809523812,2.592302683763135,12.24,24.0,11.76,84,20.17675,1.724472996420824,17.06,24.0,6.940000000000001,40,20.366,1.6435628820852641,17.71,23.0,5.289999999999999,20,19.07,0.5092347199474914,18.0,20.0,2.0,11
John Alison,18.122261904761906,2.3681055166120397,12.24,23.59,11.35,84,19.88725,1.7774960600771366,17.0,23.0,6.0,40,20.612000000000002,1.8567022265012603,18.0,24.0,6.0,20,21.19181818181818,1.5545534290066594,19.0,23.65,4.649999999999999,11
Yulianna Avdeeva,20.65059523809524,1.6892911118868597,18.0,24.71,6.710000000000001,84,21.13,1.0081132415023164,20.0,23.19,3.1900000000000013,40,21.042499999999997,0.9847889167361277,20.0,23.0,3.0,20,19.04,0.9430164367602509,17.59,21.0,3.41,11
Michel Beroff,19.47869047619048,2.7113793136628463,15.0,25.0,10.0,84,21.111,1.6474172482232878,18.0,24.0,6.0,40,21.696,1.5992149389786954,18.0,24.62,6.620000000000001,20,22.08,1.0722686230604714,21.0,23.65,2.6499999999999986,11
Sa Chen,21.337738095238095,1.3272576593995915,17.0,24.0,7.0,84,21.35225,1.207392799297259,19.0,24.0,5.0,40,20.5205,1.6141821295530507,17.47,23.94,6.470000000000002,20,20.584545454545456,1.7269994999209672,18.75,23.65,4.899999999999999,11
Dang Thai Son,18.868918918918922,2.425800005064036,14.0,24.0,10.0,74,19.489722222222223,1.772211670864744,17.0,24.0,7.0,36,19.68722222222222,1.490968124311321,17.88,23.0,5.120000000000001,18,20.523333333333333,1.4543555273728628,19.0,23.06,4.059999999999999,9
Akiko Ebi,20.59154761904762,2.3921112790167354,16.0,25.0,9.0,84,20.75025,2.1899789104475706,17.0,24.0,7.0,40,21.1385,1.91440048331751,18.0,25.0,7.0,20,20.40909090909091,1.8352790226309161,17.18,23.29,6.109999999999999,11
Nelson Goerner,18.897857142857145,2.8116573474708684,12.24,25.0,12.76,84,20.7785,1.8403560831590482,17.0,24.87,7.870000000000001,40,21.522999999999996,1.7650975819155754,18.81,25.0,6.190000000000001,20,21.579090909090908,1.74943107635285,18.38,23.53,5.150000000000002,11
Krzysztof Jabłoński,17.90357142857143,2.227703795313858,14.5,24.0,9.5,84,19.05375,1.7498786587968953,16.88,24.0,7.120000000000001,40,20.3845,1.6506345669724145,18.0,24.06,6.059999999999999,20,21.005454545454544,1.7158284508444521,19.0,23.65,4.649999999999999,11
Kevin Kenner,19.357777777777777,2.4068750486886517,15.0,24.53,9.530000000000001,81,20.4965,1.7652871488652258,17.0,24.0,7.0,40,21.051,2.0604212650508353,17.47,24.62,7.150000000000002,20,20.815454545454546,1.6881668379420538,18.0,23.12,5.120000000000001,11
Momo Kodama,20.312261904761904,2.025920793888443,17.0,25.0,8.0,84,20.31975,2.042979834106079,17.0,24.0,7.0,40,21.441000000000003,1.3888158530504362,20.0,24.0,4.0,20,21.716363636363635,1.2613902863687567,20.0,23.06,3.0599999999999987,11
Robert McDonald,19.71769230769231,2.40929580867653,15.0,24.0,9.0,78,20.252499999999998,1.5439992135453213,17.0,23.0,6.0,36,20.344117647058823,1.6342011000161878,18.0,23.0,5.0,17,20.757777777777775,1.3594279842803165,19.0,22.82,3.8200000000000003,9
Piotr Paleczny,19.96914634146341,2.1604247417439786,16.0,24.12,8.120000000000001,82,20.150769230769235,1.6531841439371426,17.06,22.88,5.82,39,20.803684210526313,1.4498015593188982,18.0,23.0,5.0,19,21.14181818181818,1.730351514472237,18.0,23.12,5.120000000000001,11
Ewa Pobłocka,19.51925,2.6469102001380658,14.530000000000001,24.0,9.469999999999999,80,20.11526315789474,2.333273696995803,17.0,24.87,7.870000000000001,38,20.255000000000003,2.079239821495856,17.47,24.0,6.530000000000001,18,20.112727272727273,1.8674479425627424,17.18,23.12,5.940000000000001,11
K. Popowa-Zydroń,19.830506329113927,2.0694666095485457,15.0,24.0,9.0,79,19.34289473684211,1.7281202221297314,17.0,24.0,7.0,38,20.448421052631577,1.8062430719833142,17.47,23.0,5.530000000000001,19,20.691,1.4737740668094284,18.65,22.82,4.170000000000002,10
John Rink,19.091785714285717,2.675401629893957,13.0,25.0,12.0,84,20.389249999999997,2.031205764804334,17.0,24.87,7.870000000000001,40,20.9835,2.0137795703340364,18.0,24.62,6.620000000000001,20,21.224545454545453,1.5714029631915782,19.0,23.53,4.530000000000001,11
Wojciech Świtała,18.83775,2.6035875808467135,12.24,25.0,12.76,80,19.8,1.8723124328364233,17.0,24.0,7.0,40,21.0405,1.56008257203872,19.0,24.0,5.0,20,20.64181818181818,1.4950706885081937,19.0,23.0,4.0,11
