Nr,imię,nazwisko,stage1_score,stage1_weighted,cumulative_score,rank
29,Kevin,Chen,22.93,22.93,22.93,1.0
41,Eric,Guo,22.78,22.78,22.78,2.0
73,Vincent,Ong,22.07,22.07,22.07,3.0
64,Tianyao,Lyu,22.06,22.06,22.06,4.0
51,Shiori,Kuwahara,22.03,22.03,22.03,5.0
81,Miyu,Shindo,21.92,21.92,21.92,6.0
62,Eric,Lu,21.82,21.82,21.82,7.0
11,Yifan,Wu,21.47,21.47,21.47,8.0
46,Adam,Kałduński,21.44,21.44,21.44,9.0
77,Hao,Rao,21.27,21.27,21.27,10.0
68,Nathalia,Milstein,21.26,21.26,21.26,11.0
63,Philipp,Lynov,21.14,21.14,21.14,12.0
54,Hyuk,Lee,21.13,21.13,21.13,13.0
53,Hyo,Lee,21.13,21.13,21.13,13.0
78,Anthony,Ratinov,21.06,21.06,21.06,15.0
5,Zitong,Wang,21.03,21.03,21.03,16.0
24,Piotr,Alexewicz,21.02,21.02,21.02,17.0
75,Piotr,Pawlak,20.92,20.92,20.92,18.0
58,Xiaoxuan,Li,20.88,20.88,20.88,19.0
3,Tomoharu,Ushida,20.81,20.81,20.81,20.0
20,Jacky,Zhang,20.75,20.75,20.75,21.0
76,Yehuda,Prokopowicz,20.73,20.73,20.73,22.0
67,Ruben,Micieli,20.61,20.61,20.61,23.0
45,Zihan,Jin,20.53,20.53,20.53,24.0
47,David,Khrikuli,20.52,20.52,20.52,25.0
39,Yang (Jack),Gao,20.51,20.51,20.51,26.0
25,Jonas,Aumiller,20.46,20.46,20.46,27.0
30,Xuehong,Chen,20.4,20.4,20.4,28.0
26,Yanyan,Bao,20.35,20.35,20.35,29.0
31,Zixi,Chen,20.25,20.25,20.25,30.0
15,William,Yang,20.22,20.22,20.22,31.0
59,Zhexiang,Li,19.89,19.89,19.89,32.0
55,Kwanwook,Lee,19.87,19.87,19.87,33.0
83,Gabriele,Strata,19.84,19.84,19.84,34.0
69,Yumeka,Nakagawa,19.78,19.78,19.78,35.0
35,Yubo,Deng,19.72,19.72,19.72,36.0
57,Tianyou,Li,19.69,19.69,19.69,37.0
12,Miki,Yamagata,19.61,19.61,19.61,38.0
43,Xiaoyu,Hu,19.6,19.6,19.6,39.0
28,Kai-Min,Chang,19.59,19.59,19.59,40.0
65,Tiankun,Ma,19.45,19.45,19.45,41.0
32,Hoi Leong,Cheong,19.39,19.39,19.39,42.0
71,Viet Trung,Nguyen,19.37,19.37,19.37,43.0
52,Shushi,Kyomasu,19.3,19.3,19.3,44.0
80,Jun,Shimada,19.25,19.25,19.25,45.0
36,Mateusz,Dubiel,19.12,19.12,19.12,46.0
56,Luwangzi,Li,19.03,19.03,19.03,47.0
50,Mateusz,Krzyżowski,19.03,19.03,19.03,47.0
42,Wei-Ting,Hsieh,19.02,19.02,19.02,49.0
7,Andrzej,Wierciński,19.02,19.02,19.02,49.0
38,Alberto,Ferro,18.98,18.98,18.98,51.0
49,Kaito,Kobayashi,18.96,18.96,18.96,52.0
14,Fanze,Yang,18.95,18.95,18.95,53.0
82,Mana,Shoji,18.93,18.93,18.93,54.0
40,Shuguang,Gong,18.91,18.91,18.91,55.0
72,Yuya,Nishimoto,18.84,18.84,18.84,56.0
17,Yichen,Yu,18.79,18.79,18.79,57.0
33,Diana,Cooper,18.71,18.71,18.71,58.0
10,Maiqi,Wu,18.66,18.66,18.66,59.0
22,Hanyuan,Zhu,18.59,18.59,18.59,60.0
66,Xuanyi,Mao,18.56,18.56,18.56,61.0
44,Hasan,Ignatov,18.51,18.51,18.51,62.0
6,Jan,Widlarz,18.5,18.5,18.5,63.0
18,Yuewen,Yu,18.46,18.46,18.46,64.0
1,Ziye,Tao,18.41,18.41,18.41,65.0
8,Krzysztof,Wierciński,18.4,18.4,18.4,66.0
16,Yuanfan,Yang,18.38,18.38,18.38,67.0
23,Jingting,Zhu,18.33,18.33,18.33,68.0
9,Victoria,Wong,18.29,18.29,18.29,69.0
84,Eva,Strejcova,18.11,18.11,18.11,70.0
27,Michał,Basista,17.87,17.87,17.87,71.0
34,Athena,Deng,17.8,17.8,17.8,72.0
19,Andrey,Zenin,17.78,17.78,17.78,73.0
79,Zuzanna,Sejbuk,17.72,17.72,17.72,74.0
37,Yu-Ang,Fan,17.71,17.71,17.71,75.0
48,Antoni,Kłeczek,17.64,17.64,17.64,76.0
74,Arisa,Onoda,17.62,17.62,17.62,77.0
70,Yulia,Nakashima,17.56,17.56,17.56,78.0
13,Ryota,Yamazaki,17.54,17.54,17.54,79.0
21,Yonghuan,Zhong,17.33,17.33,17.33,80.0
60,Hao-Wei,Lin,17.22,17.22,17.22,81.0
4,Ryan,Wang,17.07,17.07,17.07,82.0
2,Chun,Lam U,15.79,15.79,15.79,83.0
61,Pedro Lopez,Salas,15.33,15.33,15.33,84.0
