Nr,imię,nazwisko,stage1_score,stage2_score,stage1_weighted,stage2_weighted,cumulative_score,rank
62,Eric,Lu,21.82,23.03,6.546,16.121,22.67,1.0
29,Kevin,Chen,22.93,22.41,6.879,15.687,22.57,2.0
15,William,Yang,20.22,22.38,6.066,15.665999999999999,21.73,3.0
51,Shiori,Kuwahara,22.03,21.28,6.609,14.895999999999999,21.5,4.0
73,Vincent,Ong,22.07,21.23,6.6209999999999996,14.860999999999999,21.48,5.0
57,Tianyou,Li,19.69,21.86,5.907,15.301999999999998,21.21,6.0
64,Tianyao,Lyu,22.06,20.78,6.617999999999999,14.546,21.16,7.0
81,Miyu,Shindo,21.92,20.82,6.5760000000000005,14.574,21.15,8.0
47,David,Khrikuli,20.52,21.35,6.156,14.945,21.1,9.0
24,Piotr,Alexewicz,21.02,21.08,6.306,14.755999999999998,21.06,10.0
41,Eric,Guo,22.78,20.32,6.8340000000000005,14.223999999999998,21.06,10.0
3,Tomoharu,Ushida,20.81,21.08,6.242999999999999,14.755999999999998,21.0,12.0
39,Yang (Jack),Gao,20.51,21.18,6.1530000000000005,14.825999999999999,20.98,13.0
54,Hyuk,Lee,21.13,20.79,6.3389999999999995,14.552999999999999,20.89,14.0
53,Hyo,Lee,21.13,20.79,6.3389999999999995,14.552999999999999,20.89,14.0
5,Zitong,Wang,21.03,20.69,6.309,14.483,20.79,16.0
75,Piotr,Pawlak,20.92,20.59,6.276000000000001,14.412999999999998,20.69,17.0
11,Yifan,Wu,21.47,20.32,6.441,14.223999999999998,20.66,18.0
58,Xiaoxuan,Li,20.88,20.3,6.263999999999999,14.209999999999999,20.47,19.0
76,Yehuda,Prokopowicz,20.73,20.36,6.219,14.251999999999999,20.47,19.0
78,Anthony,Ratinov,21.06,20.12,6.318,14.084,20.4,21.0
83,Gabriele,Strata,19.84,20.63,5.952,14.440999999999999,20.39,22.0
28,Kai-Min,Chang,19.59,20.52,5.877,14.363999999999999,20.24,23.0
46,Adam,Kałduński,21.44,19.72,6.432,13.803999999999998,20.24,23.0
12,Miki,Yamagata,19.61,20.35,5.883,14.245,20.13,25.0
30,Xuehong,Chen,20.4,19.9,6.119999999999999,13.929999999999998,20.05,26.0
25,Jonas,Aumiller,20.46,19.81,6.138,13.866999999999999,20.0,27.0
69,Yumeka,Nakagawa,19.78,19.98,5.934,13.985999999999999,19.92,28.0
68,Nathalia,Milstein,21.26,19.26,6.378,13.482000000000001,19.86,29.0
77,Hao,Rao,21.27,19.15,6.380999999999999,13.404999999999998,19.79,30.0
31,Zixi,Chen,20.25,19.29,6.075,13.502999999999998,19.58,31.0
67,Ruben,Micieli,20.61,19.12,6.183,13.384,19.57,32.0
45,Zihan,Jin,20.53,19.14,6.159,13.398,19.56,33.0
63,Philipp,Lynov,21.14,18.71,6.342,13.097,19.44,34.0
20,Jacky,Zhang,20.75,18.8,6.225,13.16,19.38,35.0
59,Zhexiang,Li,19.89,19.08,5.967,13.355999999999998,19.32,36.0
35,Yubo,Deng,19.72,19.09,5.9159999999999995,13.363,19.28,37.0
26,Yanyan,Bao,20.35,18.82,6.105,13.174,19.28,37.0
55,Kwanwook,Lee,19.87,18.72,5.961,13.104,19.06,39.0
43,Xiaoyu,Hu,19.6,18.81,5.88,13.166999999999998,19.05,40.0
