Nr,imię,nazwisko,Garrick Ohlsson,John Alison,Yulianna Avdeeva,Michel Beroff,Sa Chen,Dang Thai Son,Akiko Ebi,Nelson Goerner,Krzysztof Jabłoński,Kevin Kenner,Momo Kodama,Robert McDonald,Piotr Paleczny,Ewa Pobłocka,K. Popowa-Zydroń,John Rink,Wojciech Świtała,avg_before_correction,avg_after_correction,corrections_made,stage_score
3,Tomoharu,Ushida,21.0,20.0,21.0,21.0,21.0,19.0,20.0,19.0,22.0,20.0,20.0,22.62,,20.0,22.62,20.0,20.0,20.62,20.58,2,20.58
5,Zitong,Wang,23.0,23.0,22.0,24.62,22.0,,24.0,23.0,20.62,24.62,23.0,22.0,20.62,24.0,20.62,24.62,23.0,22.62,22.8,6,22.8
11,Yifan,Wu,20.0,19.0,20.0,21.88,18.0,17.88,21.0,20.0,20.0,20.0,21.88,20.0,20.0,17.88,19.0,20.0,20.0,19.88,19.8,4,19.8
15,William,Yang,21.0,19.0,20.0,21.0,21.0,20.0,19.0,18.81,21.0,22.81,21.0,,19.0,19.0,22.81,22.81,22.81,20.81,20.69,5,20.69
24,Piotr,Alexewicz,18.76,21.0,22.0,22.76,21.0,21.0,22.76,22.76,19.0,21.0,22.76,18.76,19.0,19.0,19.0,21.0,21.0,20.76,20.74,6,20.74
29,Kevin,Chen,20.06,22.0,22.0,24.0,22.0,23.0,22.0,22.0,24.06,23.0,23.0,23.0,23.0,20.06,21.0,23.0,23.0,22.06,22.36,3,22.36
39,Yang (Jack),Gao,22.0,19.0,20.0,20.0,21.0,18.0,18.0,19.0,18.0,19.0,20.0,21.0,18.0,20.0,22.0,22.0,21.0,20.0,19.88,5,19.88
41,Eric,Guo,17.71,18.0,21.0,21.71,19.0,18.0,21.71,21.0,18.0,19.0,21.71,19.0,19.0,17.71,18.0,21.71,20.0,19.71,19.54,6,19.54
47,David,Khrikuli,18.59,22.59,22.0,22.59,22.0,20.0,18.59,22.59,21.0,20.0,22.0,20.0,21.0,18.59,19.0,22.59,20.0,20.59,20.77,7,20.77
51,Shiori,Kuwahara,19.24,21.0,22.0,23.24,22.0,19.24,21.0,23.24,20.0,19.24,23.0,22.0,20.0,22.0,23.0,21.0,22.0,21.24,21.36,5,21.36
53,Hyo,Lee,21.0,20.0,22.0,21.0,19.0,21.0,22.81,22.0,18.81,22.0,20.0,21.0,22.0,,20.0,19.0,21.0,20.81,20.79,2,20.79
54,Hyuk,Lee,18.12,18.12,20.0,22.12,20.0,20.0,22.12,21.0,20.0,19.0,20.0,19.0,21.0,,20.0,19.0,21.0,20.12,20.03,4,20.03
57,Tianyou,Li,22.0,23.94,23.0,22.0,23.94,19.94,22.0,23.94,21.0,22.0,20.0,20.0,21.0,21.0,22.0,23.94,22.0,21.94,21.98,5,21.98
58,Xiaoxuan,Li,21.88,19.0,20.0,19.0,19.0,18.0,20.0,20.0,20.0,21.88,20.0,,21.0,21.88,19.0,18.0,19.0,19.88,19.85,3,19.85
62,Eric,Lu,23.0,24.0,21.2,23.0,22.0,,25.0,25.0,21.2,24.0,24.0,,22.0,24.0,23.0,24.0,24.0,23.2,23.29,2,23.29
64,Tianyao,Lyu,19.31,21.0,21.0,21.0,20.0,19.31,19.31,23.0,22.0,23.0,23.0,22.0,23.0,23.0,,20.0,23.0,21.31,21.43,3,21.43
73,Vincent,Ong,18.47,18.47,20.0,21.0,21.0,22.0,22.0,22.47,21.0,22.0,22.47,18.47,20.0,20.0,21.0,20.0,19.0,20.47,20.55,5,20.55
75,Piotr,Pawlak,21.47,21.47,20.0,21.0,17.47,19.0,21.47,20.0,18.0,17.47,20.0,18.0,21.0,17.47,17.47,18.0,19.0,19.47,19.31,7,19.31
76,Yehuda,Prokopowicz,21.65,21.65,21.65,18.0,19.0,18.0,18.0,21.65,19.0,18.0,21.0,18.0,21.65,18.0,18.0,19.0,19.0,19.65,19.49,5,19.49
81,Miyu,Shindo,19.06,20.0,20.0,23.0,20.0,21.0,22.0,20.0,23.0,23.0,20.0,21.0,23.0,21.0,21.0,20.0,21.0,21.06,21.06,1,21.06
