Nr,imię,nazwisko,participant_name,original_score,ci_lower,ci_upper,ci_width,std_bootstrap,n_judges,rank,rank_ci_lower,rank_ci_upper,rank_uncertainty
29,Kevin,Chen,Kevin Chen,21.58235294117647,20.876029411764705,22.250367647058823,1.3743382352941182,0.3568580074884831,17,1.0,1.0,1.0,0.0
62,Eric,Lu,Eric Lu,21.408,20.674566666666667,22.1101,1.435533333333332,0.362962385900002,15,2.0,2.0,2.0,0.0
24,Piotr,Alexewicz,Piotr Alexewicz,21.295882352941174,20.582352941176474,22.026470588235295,1.444117647058821,0.3734688957574241,17,3.0,3.0,3.0,0.0
64,Tianyao,Lyu,Tianyao Lyu,21.247500000000002,20.47475,22.005000000000003,1.5302500000000023,0.39980463728394894,16,4.0,4.0,4.0,0.0
51,Shiori,Kuwahara,Shiori Kuwahara,21.043529411764705,20.33764705882353,21.73882352941176,1.4011764705882293,0.35554575269800637,17,5.0,6.0,5.0,-1.0
73,Vincent,Ong,Vincent Ong,21.03529411764706,20.215294117647062,21.796558823529413,1.5812647058823508,0.40780503628665654,17,6.0,5.0,6.0,1.0
47,David,Khrikuli,David Khrikuli,20.71764705882353,19.931985294117645,21.48272058823529,1.5507352941176435,0.39183178718216166,17,7.0,7.0,8.0,1.0
5,Zitong,Wang,Zitong Wang,20.640625,19.96875,21.390625,1.421875,0.36165501058285854,16,8.0,8.0,7.0,-1.0
15,William,Yang,William Yang,20.478749999999998,19.72,21.22059375,1.5005937500000002,0.3881066899948389,16,9.0,9.0,9.0,0.0
81,Miyu,Shindo,Miyu Shindo,19.716470588235296,19.22176470588235,20.19764705882353,0.9758823529411806,0.25513439737765564,17,10.0,10.0,10.0,0.0
57,Tianyou,Li,Tianyou Li,19.09058823529412,18.502352941176472,19.657647058823528,1.1552941176470561,0.2885610118307546,17,11.0,11.0,11.0,0.0
