Nr,imię,nazwisko,participant_name,original_score,ci_lower,ci_upper,ci_width,std_bootstrap,n_judges,rank,rank_ci_lower,rank_ci_upper,rank_uncertainty
29,Kevin,Chen,Kevin Chen,22.930588235294117,22.133441176470587,23.705882352941178,1.5724411764705906,0.40805324476339816,17,1.0,1.0,1.0,0.0
41,Eric,Guo,Eric Guo,22.77529411764706,21.962352941176473,23.564720588235296,1.6023676470588235,0.39504070343433784,17,2.0,2.0,2.0,0.0
73,Vincent,Ong,Vincent Ong,22.065882352941177,21.155882352941177,23.035308823529412,1.8794264705882355,0.5042633755445372,17,3.0,3.0,3.0,0.0
64,Tianyao,Lyu,Tianyao Lyu,22.055,21.11,22.875,1.7650000000000006,0.4579232905124505,16,4.0,5.0,4.0,-1.0
51,Shiori,Kuwahara,Shiori Kuwahara,22.03235294117647,21.056867647058823,22.92430882352941,1.8674411764705887,0.4709865888491717,17,5.0,4.0,6.0,2.0
81,Miyu,Shindo,Miyu Shindo,21.919999999999998,21.075294117647058,22.636470588235294,1.5611764705882365,0.39312099859324273,17,6.0,7.0,5.0,-2.0
62,Eric,Lu,Eric Lu,21.82266666666667,20.889433333333333,22.666666666666668,1.777233333333335,0.470050646594598,15,7.0,6.0,7.0,1.0
11,Yifan,Wu,Yifan Wu,21.470588235294116,20.764705882352942,22.23676470588235,1.4720588235294088,0.39897231304238967,17,8.0,10.0,8.0,-2.0
46,Adam,Kałduński,Adam Kałduński,21.4375,20.5,22.375,1.875,0.485495393741022,16,9.0,8.0,9.0,1.0
77,Hao,Rao,Hao Rao,21.27058823529412,20.15294117647059,22.322352941176472,2.169411764705881,0.5526508953390296,17,10.0,9.0,14.0,5.0
68,Nathalia,Milstein,Nathalia Milstein,21.263529411764708,20.270411764705884,22.21941176470588,1.948999999999998,0.507889505237897,17,11.0,11.0,13.0,2.0
63,Philipp,Lynov,Philipp Lynov,21.136875,20.386203125,21.949375,1.5631718749999983,0.4104362168012338,16,12.0,16.0,11.0,-5.0
54,Hyuk,Lee,Hyuk Lee,21.1325,20.4560625,21.7661875,1.3101249999999993,0.3480947437480204,16,13.0,21.0,10.0,-11.0
53,Hyo,Lee,Hyo Lee,21.12875,20.3113125,22.0,1.6886875000000003,0.43556855777822157,16,14.0,14.0,12.0,-2.0
78,Anthony,Ratinov,Anthony Ratinov,21.055,19.92990625,22.055,2.1250937500000013,0.5338919432909037,16,15.0,13.0,17.0,4.0
5,Zitong,Wang,Zitong Wang,21.026875,20.104375,21.800625,1.6962499999999991,0.4411941026700824,16,16.0,20.0,15.0,-5.0
24,Piotr,Alexewicz,Piotr Alexewicz,21.023529411764706,19.985882352941175,22.075470588235294,2.0895882352941193,0.5264465636897643,17,17.0,12.0,16.0,4.0
75,Piotr,Pawlak,Piotr Pawlak,20.924705882352942,19.758558823529416,21.994117647058825,2.2355588235294093,0.5775227318340994,17,18.0,15.0,22.0,7.0
58,Xiaoxuan,Li,Xiaoxuan Li,20.88375,19.840140625,21.88375,2.043609374999999,0.5268998750500273,16,19.0,17.0,19.0,2.0
3,Tomoharu,Ushida,Tomoharu Ushida,20.8125,19.88984375,21.8125,1.9226562499999993,0.48986208498381206,16,20.0,18.0,18.0,0.0
20,Jacky,Zhang,Jacky Zhang,20.74823529411765,19.627455882352944,21.807323529411764,2.1798676470588205,0.5500028016927698,17,21.0,19.0,24.0,5.0
76,Yehuda,Prokopowicz,Yehuda Prokopowicz,20.72705882352941,19.77442647058824,21.69261764705882,1.9181911764705823,0.5036558259827506,17,22.0,22.0,21.0,-1.0
67,Ruben,Micieli,Ruben Micieli,20.612352941176468,19.671088235294114,21.467058823529413,1.7959705882352992,0.4464797543816118,17,23.0,26.0,23.0,-3.0
45,Zihan,Jin,Zihan Jin,20.529411764705884,19.823529411764707,21.176470588235293,1.352941176470587,0.35249960121698243,17,24.0,29.0,20.0,-9.0
47,David,Khrikuli,David Khrikuli,20.521764705882354,19.44569117647059,21.563529411764705,2.1178382352941156,0.5390026292108357,17,25.0,23.0,29.0,6.0
39,Yang (Jack),Gao,Yang (Jack) Gao,20.514705882352942,19.575955882352947,21.55,1.974044117647054,0.49204708115098494,17,26.0,24.0,25.0,1.0
25,Jonas,Aumiller,Jonas Aumiller,20.46294117647059,19.47980882352941,21.387676470588236,1.9078676470588256,0.4826508347671055,17,27.0,27.0,27.0,0.0
30,Xuehong,Chen,Xuehong Chen,20.401176470588236,19.542602941176472,21.21438235294118,1.6717794117647067,0.43048020466566933,17,28.0,28.0,26.0,-2.0
26,Yanyan,Bao,Yanyan Bao,20.352941176470587,19.294117647058822,21.470588235294116,2.1764705882352935,0.5516434834854594,17,29.0,25.0,31.0,6.0
31,Zixi,Chen,Zixi Chen,20.249411764705883,19.453764705882357,21.059176470588234,1.6054117647058774,0.43610500779222106,17,30.0,30.0,28.0,-2.0
15,William,Yang,William Yang,20.21875,19.328125,21.000390625,1.6722656250000014,0.43238907085372774,16,31.0,32.0,30.0,-2.0
59,Zhexiang,Li,Zhexiang Li,19.88823529411765,18.898558823529413,20.787176470588232,1.888617647058819,0.4807826626295099,17,32.0,34.0,33.0,-1.0
55,Kwanwook,Lee,Kwanwook Lee,19.868235294117646,19.051588235294115,20.73664705882353,1.6850588235294133,0.42759895588997926,17,33.0,36.0,32.0,-4.0
83,Gabriele,Strata,Gabriele Strata,19.83823529411765,18.876029411764705,20.77948529411765,1.9034558823529437,0.47427345709208346,17,34.0,35.0,35.0,0.0
69,Yumeka,Nakagawa,Yumeka Nakagawa,19.781176470588235,18.743264705882353,21.00614705882353,2.262882352941176,0.5621607075214069,17,35.0,31.0,36.0,5.0
35,Yubo,Deng,Yubo Deng,19.7175,18.741031250000002,20.69375,1.952718749999999,0.5000634549719041,16,36.0,37.0,37.0,0.0
57,Tianyou,Li,Tianyou Li,19.691764705882353,18.88235294117647,20.605058823529408,1.7227058823529369,0.44744776982161727,17,37.0,38.0,34.0,-4.0
12,Miki,Yamagata,Miki Yamagata,19.612352941176468,18.674617647058824,20.52235294117647,1.8477352941176477,0.480560906282861,17,38.0,40.0,38.0,-2.0
43,Xiaoyu,Hu,Xiaoyu Hu,19.59705882352941,18.220220588235293,20.850441176470586,2.630220588235293,0.667471164903405,17,39.0,33.0,46.0,13.0
28,Kai-Min,Chang,Kai-Min Chang,19.58625,18.625,20.528125,1.9031249999999993,0.4868527893325243,16,40.0,39.0,39.0,0.0
65,Tiankun,Ma,Tiankun Ma,19.447058823529414,18.564264705882355,20.38580882352941,1.8215441176470542,0.4632957765930922,17,41.0,42.0,40.0,-2.0
32,Hoi Leong,Cheong,Hoi Leong Cheong,19.386875,18.261578125,20.449375,2.187796875,0.5594713419516986,16,42.0,41.0,45.0,4.0
71,Viet Trung,Nguyen,Viet Trung Nguyen,19.372142857142858,18.447053571428572,20.229285714285712,1.78223214285714,0.4757926442950815,14,43.0,43.0,42.0,-1.0
52,Shushi,Kyomasu,Shushi Kyomasu,19.297058823529408,18.511764705882353,20.138308823529414,1.626544117647061,0.4201506812316819,17,44.0,45.0,41.0,-4.0
80,Jun,Shimada,Jun Shimada,19.249411764705883,18.381176470588237,20.131764705882354,1.7505882352941171,0.4509480347784966,17,45.0,46.0,43.0,-3.0
36,Mateusz,Dubiel,Mateusz Dubiel,19.12470588235294,18.30470588235294,19.885970588235296,1.5812647058823543,0.4019090786522669,17,46.0,56.0,44.0,-12.0
50,Mateusz,Krzyżowski,Mateusz Krzyżowski,19.03058823529412,17.963852941176473,20.2,2.2361470588235264,0.5854244217836843,17,47.0,44.0,52.0,8.0
56,Luwangzi,Li,Luwangzi Li,19.02823529411765,18.072705882352942,20.042882352941177,1.9701764705882354,0.5116794985401483,17,48.0,48.0,47.0,-1.0
42,Wei-Ting,Hsieh,Wei-Ting Hsieh,19.023529411764706,18.053529411764703,20.068235294117645,2.014705882352942,0.5162542540354401,17,49.0,47.0,48.0,1.0
7,Andrzej,Wierciński,Andrzej Wierciński,19.015,17.89375,19.94875,2.0549999999999997,0.5274091485373925,16,50.0,50.0,55.0,5.0
38,Alberto,Ferro,Alberto Ferro,18.98235294117647,18.026117647058825,19.919999999999998,1.8938823529411728,0.4982152119725274,17,51.0,52.0,50.0,-2.0
49,Kaito,Kobayashi,Kaito Kobayashi,18.957647058823532,17.91523529411765,19.929411764705886,2.014176470588236,0.5169260371233544,17,52.0,51.0,54.0,3.0
14,Fanze,Yang,Fanze Yang,18.948823529411765,17.94863235294118,19.890191176470587,1.9415588235294088,0.49802485149113607,17,53.0,55.0,53.0,-2.0
82,Mana,Shoji,Mana Shoji,18.92625,17.87490625,19.98134375,2.106437500000002,0.5435714370657733,16,54.0,49.0,56.0,7.0
40,Shuguang,Gong,Shuguang Gong,18.91375,18.050625,19.714375,1.6637500000000003,0.4307561031883174,16,55.0,58.0,49.0,-9.0
72,Yuya,Nishimoto,Yuya Nishimoto,18.839375,17.725953125,19.902171875,2.1762187500000003,0.5697176374584607,16,56.0,54.0,59.0,5.0
17,Yichen,Yu,Yichen Yu,18.791764705882354,17.753852941176472,19.850999999999996,2.0971470588235235,0.5296904750164791,17,57.0,57.0,58.0,1.0
33,Diana,Cooper,Diana Cooper,18.713529411764707,17.789411764705882,19.66235294117647,1.8729411764705866,0.47756630363994307,17,58.0,59.0,57.0,-2.0
10,Maiqi,Wu,Maiqi Wu,18.66375,17.97625,19.375,1.3987499999999997,0.35086340268507615,16,59.0,64.0,51.0,-13.0
22,Hanyuan,Zhu,Hanyuan Zhu,18.59375,17.437109375,19.906640625,2.469531250000003,0.6253766490084195,16,60.0,53.0,67.0,14.0
66,Xuanyi,Mao,Xuanyi Mao,18.562352941176474,17.59023529411765,19.607411764705883,2.0171764705882325,0.5168232026886662,17,61.0,60.0,63.0,3.0
44,Hasan,Ignatov,Hasan Ignatov,18.50529411764706,17.50529411764706,19.536470588235293,2.031176470588232,0.5116055174660747,17,62.0,62.0,65.0,3.0
6,Jan,Widlarz,Jan Widlarz,18.5,17.625,19.3125,1.6875,0.4194713888857618,16,63.0,65.0,61.0,-4.0
18,Yuewen,Yu,Yuewen Yu,18.46117647058824,17.385102941176473,19.561764705882354,2.17666176470588,0.5561611689110435,17,64.0,61.0,69.0,8.0
1,Ziye,Tao,Ziye Tao,18.41375,17.42875,19.519859375,2.0911093749999985,0.544076968902594,16,65.0,63.0,68.0,5.0
8,Krzysztof,Wierciński,Krzysztof Wierciński,18.404117647058825,17.61470588235294,19.18630882352941,1.5716029411764687,0.4198223592822174,17,66.0,67.0,62.0,-5.0
16,Yuanfan,Yang,Yuanfan Yang,18.37705882352941,17.64619117647059,19.165882352941175,1.5196911764705838,0.3980598101083923,17,67.0,68.0,60.0,-8.0
23,Jingting,Zhu,Jingting Zhu,18.331875,17.475765625,19.125,1.649234374999999,0.41874038022345955,16,68.0,69.0,66.0,-3.0
9,Victoria,Wong,Victoria Wong,18.28875,17.562390625,18.995734375,1.4333437500000024,0.38265602899136125,16,69.0,71.0,64.0,-7.0
84,Eva,Strejcova,Eva Strejcova,18.111764705882354,17.06352941176471,19.20235294117647,2.138823529411763,0.5468121582281792,17,70.0,66.0,70.0,4.0
27,Michał,Basista,Michał Basista,17.871764705882352,17.05529411764706,18.755235294117647,1.6999411764705883,0.4614184231439062,17,71.0,73.0,71.0,-2.0
34,Athena,Deng,Athena Deng,17.80125,16.99240625,18.60259375,1.610187500000002,0.4042946285198456,16,72.0,76.0,72.0,-4.0
19,Andrey,Zenin,Andrey Zenin,17.783529411764707,16.63758823529412,19.005411764705883,2.367823529411762,0.6001587833451224,17,73.0,70.0,76.0,6.0
79,Zuzanna,Sejbuk,Zuzanna Sejbuk,17.722352941176467,16.766647058823533,18.680000000000003,1.9133529411764698,0.48439504367726616,17,74.0,74.0,74.0,0.0
37,Yu-Ang,Fan,Yu-Ang Fan,17.711764705882352,16.615294117647057,18.83035294117647,2.2150588235294144,0.5780661210536686,17,75.0,72.0,78.0,6.0
48,Antoni,Kłeczek,Antoni Kłeczek,17.639333333333337,16.576666666666668,18.640016666666668,2.06335,0.5264654354787004,15,76.0,75.0,79.0,4.0
74,Arisa,Onoda,Arisa Onoda,17.625,16.6875,18.53125,1.84375,0.45718131724288286,16,77.0,78.0,75.0,-3.0
70,Yulia,Nakashima,Yulia Nakashima,17.560588235294116,16.795279411764703,18.352941176470587,1.557661764705884,0.39256995457975924,17,78.0,79.0,73.0,-6.0
