rank1,participant1,score1,rank2,participant2,score2,score_diff,t_statistic,p_value,significant_05,significant_01,cohens_d,effect_size
1,Eric Lu,23.29,2,Zitong Wang,22.8,0.48999999999999844,1.05196250949415,0.30150379126762755,False,False,0.39169407511822324,small
2,Zitong Wang,22.8,3,Kevin Chen,22.36,0.4400000000000013,0.9684510184234828,0.3403147414531791,False,False,0.34708352085727273,small
3,Kevin Chen,22.36,4,Tianyou Li,21.98,0.379999999999999,0.8650159330698327,0.3934687227336149,False,False,0.30582931605404373,small
4,Tianyou Li,21.98,5,Tianyao Lyu,21.43,0.5500000000000007,1.0901200379415565,0.28406172227712967,False,False,0.39137482346958424,small
5,Tianyao Lyu,21.43,6,Shiori Kuwahara,21.36,0.07000000000000028,0.13499658843839335,0.8934873038643734,False,False,0.048475424041575475,small
6,Shiori Kuwahara,21.36,7,Miyu Shindo,21.06,0.3000000000000007,0.6504916967494591,0.5200181456408186,False,False,0.22998354493854292,small
7,Miyu Shindo,21.06,8,Hyo Lee,20.79,0.2699999999999996,0.6244309728013333,0.5369135219199299,False,False,0.22460345628046646,small
8,Hyo Lee,20.79,9,David Khrikuli,20.77,0.019999999999999574,0.033833616919074064,0.9732267435011908,False,False,0.012200605510541458,small
9,David Khrikuli,20.77,10,Piotr Alexewicz,20.74,0.030000000000001137,0.06346400489422725,0.9497918044747695,False,False,0.022437914110982168,small
10,Piotr Alexewicz,20.74,11,William Yang,20.69,0.04999999999999716,0.0904001052870407,0.9285508580366633,False,False,0.03249910508180487,small
11,William Yang,20.69,12,Tomoharu Ushida,20.58,0.11000000000000298,0.24127061827231136,0.8109868423079273,False,False,0.08809957339397535,small
12,Tomoharu Ushida,20.58,13,Vincent Ong,20.55,0.029999999999997584,0.06249559944784072,0.9505693868759224,False,False,0.022536832560229647,small
13,Vincent Ong,20.55,14,Hyuk Lee,20.03,0.5199999999999996,1.140410962971746,0.2628495095872816,False,False,0.41070784333176513,small
14,Hyuk Lee,20.03,15,Yang (Jack) Gao,19.88,0.15000000000000213,0.3159259250824692,0.7541760521780593,False,False,0.113846817619996,small
15,Yang (Jack) Gao,19.88,16,Xiaoxuan Li,19.85,0.029999999999997584,0.0626480155101294,0.9504489965808902,False,False,0.022559925989737807,small
16,Xiaoxuan Li,19.85,17,Yifan Wu,19.8,0.05000000000000071,0.13395364994661957,0.8943050993070424,False,False,0.04808771962378415,small
17,Yifan Wu,19.8,18,Eric Guo,19.54,0.26000000000000156,0.5206605854990285,0.6061874734414485,False,False,0.18408131535146063,small
18,Eric Guo,19.54,19,Yehuda Prokopowicz,19.49,0.05000000000000071,0.10770153113377434,0.91490490983047,False,False,0.03807824150443295,small
19,Yehuda Prokopowicz,19.49,20,Piotr Pawlak,19.31,0.17999999999999972,0.3168684316089412,0.7534015060264022,False,False,0.11202990836731402,small
